"","k=2","k=3","k=4","k=5","k=6","k=7","k=8","k=9","k=10","k=11","k=12","k=13","k=14","k=15"
"ANOnto",0.757,0.715,0.639,0.681,0.677,0.617,0.635,0.625,0.614,0.66,0.659,0.661,0.6,0.66
"AROnto",0.937,0.897,0.877,0.871,0.871,0.876,0.887,0.871,0.868,0.836,0.849,0.838,0.812,0.803
"CBOOnto",0.734,0.799,0.62,0.647,0.685,0.674,0.679,0.509,0.663,0.67,0.669,0.638,0.594,0.599
"CBOOnto2",0.734,0.799,0.62,0.647,0.685,0.674,0.679,0.509,0.663,0.67,0.669,0.638,0.594,0.599
"CROnto",0.979,0.968,0.953,0.948,0.835,0.804,0.854,0.785,0.796,0.731,0.8,0.769,0.724,0.715
"DITOnto",0.792,0.699,0.691,0.687,0.63,0.641,0.627,0.664,0.632,0.61,0.679,0.75,0.834,0.774
"INROnto",0.776,0.812,0.79,0.663,0.683,0.442,0.664,0.67,0.639,0.651,0.671,0.626,0.566,0.548
"LCOMOnto",0.666,0.659,0.624,0.594,0.527,0.614,0.543,0.573,0.578,0.575,0.589,0.581,0.567,0.604
"NACOnto",0.823,0.794,0.78,0.784,0.795,0.809,0.819,0.812,0.83,0.819,0.801,0.79,0.794,0.785
"NOCOnto",0.975,0.679,0.662,0.611,0.543,0.59,0.527,0.514,0.563,0.546,0.548,0.559,0.551,0.554
"NOMOnto",0.999,0.891,0.843,0.766,0.563,0.667,0.61,0.673,0.654,0.653,0.657,0.658,0.661,0.624
"POnto",0.795,0.723,0.748,0.718,0.636,0.567,0.591,0.63,0.658,0.617,0.619,0.609,0.572,0.563
"PROnto",0.622,0.662,0.685,0.678,0.644,0.641,0.628,0.617,0.647,0.689,0.687,0.668,0.651,0.63
"RFCOnto",0.999,0.889,0.835,0.756,0.615,0.55,0.604,0.59,0.614,0.582,0.594,0.598,0.586,0.593
"RROnto",0.622,0.662,0.685,0.678,0.644,0.641,0.628,0.617,0.647,0.689,0.687,0.668,0.651,0.63
"TMOnto",0.82,0.781,0.745,0.792,0.81,0.768,0.842,0.814,0.825,0.794,0.81,0.807,0.805,0.798
"TMOnto2",0.962,0.905,0.89,0.897,0.871,0.889,0.892,0.892,0.861,0.901,0.858,0.871,0.876,0.852
"WMCOnto",0.957,0.828,0.672,0.572,0.595,0.628,0.591,0.612,0.598,0.62,0.604,0.554,0.542,0.525
"WMCOnto2",0.968,0.75,0.862,0.783,0.757,0.76,0.708,0.724,0.713,0.784,0.761,0.768,0.753,0.741
