"","k=2","k=3","k=4","k=5","k=6","k=7","k=8","k=9","k=10","k=11","k=12","k=13","k=14","k=15"
"ANOnto",0.993,0.882,0.791,0.632,0.662,0.661,0.643,0.529,0.223,0.261,0.227,0.268,0.536,0.511
"AROnto",0.931,0.936,0.745,0.739,0.382,0.55,0.358,0.141,0.098,0.022,0.041,0.038,0.021,0.009
"CBOOnto",0.577,0.785,0.711,0.643,0.66,0.581,0.519,0.509,0.516,0.457,0.468,0.461,0.451,0.255
"CBOOnto2",0.577,0.785,0.711,0.643,0.66,0.581,0.519,0.509,0.516,0.457,0.468,0.461,0.451,0.255
"CROnto",0.854,0.349,0.244,0.16,0.158,0.143,0.109,0.082,0.093,0.069,0.081,0.057,0.05,0.03
"DITOnto",0.884,0.96,0.6,0.619,0.592,0.504,0.335,0.502,0.292,0.128,0.168,0.179,0.373,0.101
"INROnto",0.6,0.866,0.645,0.678,0.714,0.603,0.403,0.405,0.405,0.365,0.339,0.393,0.332,0.36
"LCOMOnto",0.915,0.749,0.606,0.721,0.649,0.674,0.608,0.659,0.61,0.566,0.538,0.417,0.352,0.545
"NACOnto",0.89,0.858,0.631,0.674,0.702,0.639,0.592,0.599,0.587,0.305,0.32,0.206,0.194,0.085
"NOCOnto",0.864,0.835,0.837,0.753,0.763,0.784,0.677,0.604,0.62,0.619,0.59,0.568,0.55,0.531
"NOMOnto",0.882,0.738,0.495,0.393,0.38,0.383,0.367,0.391,0.39,0.382,0.371,0.374,0.285,0.178
"POnto",0.992,0.802,0.807,0.805,0.778,0.631,0.616,0.644,0.438,0.431,0.407,0.548,0.56,0.517
"PROnto",0.964,0.946,0.934,0.742,0.75,0.743,0.675,0.577,0.576,0.623,0.596,0.452,0.31,0.4
"RFCOnto",0.884,0.752,0.499,0.407,0.399,0.38,0.366,0.335,0.371,0.204,0.187,0.206,0.2,0.093
"RROnto",0.964,0.946,0.934,0.742,0.75,0.743,0.675,0.577,0.576,0.623,0.596,0.452,0.31,0.4
"TMOnto",0.955,0.738,0.732,0.77,0.77,0.692,0.485,0.41,0.393,0.166,0.157,0.087,0.058,0.049
"TMOnto2",1,0.935,0.948,0.64,0.614,0.592,0.548,0.222,0.084,0.145,0.07,0.055,0.031,0.014
"WMCOnto",0.864,0.866,0.813,0.797,0.722,0.682,0.71,0.464,0.582,0.395,0.386,0.589,0.452,0.547
"WMCOnto2",0.864,0.496,0.574,0.634,0.637,0.385,0.374,0.254,0.25,0.177,0.149,0.116,0.123,0.054
