"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","3",0.9027880506,0.705976636577506,"3",0.9027880506,0.705976636577506,"3"
"AROnto","3",0.9668053085,0.896645955712041,"3",0.9668053085,0.896645955712041,"3"
"CBOOnto","5",0.8978297389,0.627826993968927,"3",0.8508941813,0.789621483167518,"3"
"CBOOnto2","5",0.8978297389,0.627826993968927,"3",0.8508941813,0.789621483167518,"3"
"CROnto","8",0.7437496134,0.853927183289729,"3",0.740972675,0.96800786427364,"3"
"DITOnto","3",0.9632195052,0.701184713627013,"15",0,0.832149493019058,"3"
"INROnto","5",0.9098012513,0.643325434774756,"3",0.9034356113,0.803499767852098,"3"
"LCOMOnto","8",0.8354179673,0.613342401167978,"15",0.7180994665,0.639324084828322,"8"
"NACOnto","7",0.8905158273,0.809024774519584,"8",0.8049375357,0.818560719419677,"8"
"NOCOnto","3",0.8533786688,0.641087963417265,"5",0.7198810532,0.642471724245414,"3"
"NOMOnto","7",0.8248912679,0.673106111652808,"3",0.8074700622,0.862524409732456,"3"
"POnto","3",0.9287814348,0.790591727716708,"3",0.9287814348,0.790591727716708,"3"
"PROnto","4",0.9246816635,0.684863767054165,"7",0.7701434653,0.689231556782416,"7"
"RFCOnto","7",0.8374135681,0.65990438610611,"3",0.7864319392,0.831238111816519,"3"
"RROnto","4",0.9255309183,0.684863767056486,"7",0.7688538433,0.689231556792906,"7"
"TMOnto","8",0.8667897936,0.842324597250687,"8",0.8667897936,0.842324597250687,"8"
"TMOnto2","4",0.9437462176,0.890312234382939,"10",0,0.899698752387021,"4"
"WMCOnto","4",0.92366994,0.669856066553974,"3",0.855724441,0.827719924662375,"3"
"WMCOnto2","3",0.8759807858,0.883132503540548,"3",0.8759807858,0.883132503540548,"3"
