"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","8",0.8090098486,0.669501237514287,"5",0.7773744151,0.687026760787338,"5"
"AROnto","3",0.93509466,0.896645955712041,"3",0.93509466,0.896645955712041,"3"
"CBOOnto","3",0.8841179875,0.798826543198957,"3",0.8841179875,0.798826543198957,"3"
"CBOOnto2","3",0.8841179875,0.798826543198957,"3",0.8841179875,0.798826543198957,"3"
"CROnto","8",0.7523399021,0.853927183289729,"3",0.7414577816,0.96800786427364,"8"
"DITOnto","4",0.8410578621,0.603698088211011,"15",0,0.79884014363828,"4"
"INROnto","3",0.916002764,0.811582296752584,"3",0.916002764,0.811582296752584,"3"
"LCOMOnto","4",0.8649604206,0.623658493987274,"12",0.6516260969,0.65676064612521,"4"
"NACOnto","7",0.8742383244,0.801074283789421,"4",0.8412151851,0.815156097452304,"4"
"NOCOnto","8",0.7386192,0.540378464309729,"3",0.7164869588,0.952773588308363,"3"
"NOMOnto","7",0.8362335124,0.649297283740387,"3",0.7925257531,0.915750367090361,"3"
"POnto","3",0.9017534145,0.790591727716708,"3",0.9017534145,0.790591727716708,"3"
"PROnto","4",0.8930320679,0.681457029266518,"15",0.6685450081,0.683422975499583,"4"
"RFCOnto","7",0.8355412707,0.651996641050112,"3",0.7881273262,0.914519699343228,"3"
"RROnto","4",0.8930320679,0.681457029268839,"15",0.6685450081,0.683422975510728,"4"
"TMOnto","7",0.8756688525,0.816974153157112,"8",0.8487350337,0.839710926634373,"8"
"TMOnto2","4",0.9553637598,0.890312234382939,"3",0.9517822412,0.905249195116796,"3"
"WMCOnto","3",0.9346883031,0.827719924662375,"3",0.9346883031,0.827719924662375,"3"
"WMCOnto2","3",0.8986618505,0.883132503540548,"3",0.8986618505,0.883132503540548,"3"
