"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","3",0.8824627971,0.715238928277381,"3",0.8824627971,0.715238928277381,"3"
"AROnto","3",0.9603963156,0.896645955712041,"3",0.9603963156,0.896645955712041,"3"
"CBOOnto","3",0.8317775249,0.798826543198957,"3",0.8317775249,0.798826543198957,"3"
"CBOOnto2","3",0.8317775249,0.798826543198957,"3",0.8317775249,0.798826543198957,"3"
"CROnto","8",0.7109750145,0.853927183289729,"3",0.6803639112,0.96800786427364,"3"
"DITOnto","3",0.9623983509,0.699341825113985,"14",0.7316677064,0.8336879861259,"3"
"INROnto","3",0.8798698782,0.811582296752584,"3",0.8798698782,0.811582296752584,"3"
"LCOMOnto","5",0.8157324196,0.593864999653349,"3",0.7607033529,0.658638761433676,"3"
"NACOnto","3",0.8607558146,0.793980831583389,"10",0.8089138675,0.830472764989113,"10"
"NOCOnto","4",0.9067846728,0.661643249511378,"3",0.8950504143,0.678519096726167,"3"
"NOMOnto","3",0.8342817674,0.891174306159433,"3",0.8342817674,0.891174306159433,"3"
"POnto","5",0.8132614265,0.717982031199961,"4",0.8098106978,0.748078198344393,"4"
"PROnto","3",0.9461907011,0.661959063204041,"11",0.7266036618,0.689088967247583,"3"
"RFCOnto","3",0.8390720135,0.888756872734309,"3",0.8390720135,0.888756872734309,"3"
"RROnto","3",0.9461907011,0.661959063206167,"11",0.7266036618,0.689088967258073,"3"
"TMOnto","6",0.7941953286,0.810119250592077,"8",0.7850171873,0.842324597250687,"8"
"TMOnto2","4",0.9592706609,0.890312234382939,"3",0.9380143812,0.905249195116796,"3"
"WMCOnto","3",0.9328064936,0.827719924662375,"3",0.9328064936,0.827719924662375,"3"
"WMCOnto2","6",0.8413698121,0.75744400065804,"4",0.7654944733,0.861668951886123,"4"
