"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","3",0.9027967893,0.705976636577506,"3",0.9027967893,0.705976636577506,"3"
"AROnto","3",0.967030056,0.896645955712041,"3",0.967030056,0.896645955712041,"3"
"CBOOnto","5",0.8981548026,0.627826993968927,"3",0.8497864049,0.789621483167518,"3"
"CBOOnto2","5",0.8981548026,0.627826993968927,"3",0.8497864049,0.789621483167518,"3"
"CROnto","8",0.7433962595,0.853927183289729,"3",0.74097045,0.96800786427364,"3"
"DITOnto","3",0.9630427244,0.701184713627013,"15",0,0.832149493019058,"3"
"INROnto","5",0.9095269198,0.643325434774756,"3",0.9044925048,0.803499767852098,"3"
"LCOMOnto","8",0.839450306,0.635547975617268,"15",0.7180994665,0.639324084828322,"8"
"NACOnto","7",0.8929009284,0.809024774519584,"8",0.8045621423,0.818560719419677,"8"
"NOCOnto","3",0.852935689,0.641087963417265,"5",0.7222233507,0.642471724245414,"3"
"NOMOnto","7",0.8222874159,0.673106111652808,"3",0.808980362,0.862524409732456,"3"
"POnto","3",0.9303687821,0.790591727716708,"3",0.9303687821,0.790591727716708,"3"
"PROnto","3",0.9363439678,0.662579273153174,"5",0.6919856249,0.687058247714106,"3"
"RFCOnto","7",0.8385669947,0.65990438610611,"3",0.8010869415,0.858026171025932,"3"
"RROnto","3",0.9269361764,0.657818423083857,"4",0.9246359507,0.684863767056486,"4"
"TMOnto","8",0.8673479628,0.842324597250687,"8",0.8673479628,0.842324597250687,"8"
"TMOnto2","4",0.9441208369,0.890312234382939,"10",0,0.899698752387021,"4"
"WMCOnto","4",0.9192132025,0.673457142622626,"3",0.8577448239,0.827719924662375,"3"
"WMCOnto2","3",0.8760679293,0.883132503540548,"3",0.8760679293,0.883132503540548,"3"
