"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","3",0.9055907354,0.705976636577506,"3",0.9055907354,0.705976636577506,"3"
"AROnto","3",0.9674379759,0.896645955712041,"3",0.9674379759,0.896645955712041,"3"
"CBOOnto","5",0.8981118605,0.627826993968927,"3",0.8456527828,0.789621483167518,"3"
"CBOOnto2","5",0.8981118605,0.627826993968927,"3",0.8456527828,0.789621483167518,"3"
"CROnto","8",0.7495590459,0.853927183289729,"3",0.7410732442,0.96800786427364,"3"
"DITOnto","3",0.9684024765,0.701184713627013,"15",0,0.832149493019058,"3"
"INROnto","5",0.9099767523,0.643325434774756,"3",0.903710641,0.803499767852098,"3"
"LCOMOnto","8",0.8750614617,0.629376486567335,"3",0.7250354066,0.686423045176529,"8"
"NACOnto","7",0.9030662032,0.809024774519584,"8",0.8165134541,0.818560719419677,"8"
"NOCOnto","3",0.8714929817,0.641087963417265,"5",0.7455851217,0.642471724245414,"3"
"NOMOnto","7",0.8354158865,0.673106111652808,"3",0.8131289311,0.862524409732456,"3"
"POnto","3",0.9193264362,0.790591727716708,"3",0.9193264362,0.790591727716708,"3"
"PROnto","4",0.9356850884,0.680322518086203,"7",0.7985647325,0.684006605549603,"7"
"RFCOnto","7",0.843652087,0.65990438610611,"3",0.8056934971,0.858026171025932,"3"
"RROnto","4",0.935390402,0.680322518088505,"7",0.8008017881,0.684006605560094,"7"
"TMOnto","8",0.8707924912,0.842324597250687,"8",0.8707924912,0.842324597250687,"8"
"TMOnto2","4",0.9481827246,0.890312234382939,"8",0.8213894209,0.906143775835444,"8"
"WMCOnto","4",0.9231361494,0.669856066553974,"3",0.8594043164,0.827719924662375,"3"
"WMCOnto2","3",0.8755349681,0.883132503540548,"3",0.8755349681,0.883132503540548,"3"
