"","Agro_stab_clara","Agro_sil_clara","Obo_stab_clara","Obo_sil_clara"
"ANOnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"AROnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"CBOOnto","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"CBOOnto2","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"CROnto","Stable","Reasonable clust. struct.","Highly stable","Strong clust. struct."
"DITOnto","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"INROnto","Stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"LCOMOnto","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"NACOnto","Stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"NOCOnto","Stable","Reasonable clust. struct.","Stable","Strong clust. struct."
"NOMOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"POnto","Stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"PROnto","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"RFCOnto","Highly stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"RROnto","Doubtful","Strong clust. struct.","Stable","Reasonable clust. struct."
"TMOnto","Stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"TMOnto2","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"WMCOnto","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"WMCOnto2","Highly stable","Strong clust. struct.","Stable","Reasonable clust. struct."
