"","Agro_stab_kmeans","Agro_sil_kmeans","Obo_stab_kmeans","Obo_sil_kmeans"
"ANOnto","Stable","Strong clust. struct.","Highly stable","Strong clust. struct."
"AROnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"CBOOnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"CBOOnto2","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"CROnto","Highly stable","Reasonable clust. struct.","Highly stable","Strong clust. struct."
"DITOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"INROnto","Highly stable","Reasonable clust. struct.","Stable","Strong clust. struct."
"LCOMOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"NACOnto","Stable","Strong clust. struct.","Highly stable","Strong clust. struct."
"NOCOnto","Highly stable","Reasonable clust. struct.","Highly stable","Strong clust. struct."
"NOMOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"POnto","Stable","Reasonable clust. struct.","Highly stable","Reasonable clust. struct."
"PROnto","Highly stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"RFCOnto","Highly stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"RROnto","Doubtful","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"TMOnto","Stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"TMOnto2","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"WMCOnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"WMCOnto2","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
