"","agro_stab","agro_sil","obo_stab","obo_sil"
"ANOnto","Highly stable","Strong clust. struct.","Highly stable","Strong clust. struct."
"AROnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"CBOOnto","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"CBOOnto2","Stable","Strong clust. struct.","Stable","Strong clust. struct."
"CROnto","Doubtful","Strong clust. struct.","Highly stable","Strong clust. struct."
"DITOnto","Highly stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"INROnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"LCOMOnto","Stable","Reasonable clust. struct.","Stable","Reasonable clust. struct."
"NACOnto","Stable","Strong clust. struct.","Highly stable","Strong clust. struct."
"NOCOnto","Highly stable","Reasonable clust. struct.","Highly stable","Strong clust. struct."
"NOMOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"POnto","Stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"PROnto","Highly stable","Reasonable clust. struct.","Highly stable","Reasonable clust. struct."
"RFCOnto","Stable","Strong clust. struct.","Stable","Reasonable clust. struct."
"RROnto","Highly stable","Reasonable clust. struct.","Highly stable","Reasonable clust. struct."
"TMOnto","Stable","Strong clust. struct.","Highly stable","Reasonable clust. struct."
"TMOnto2","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"WMCOnto","Highly stable","Strong clust. struct.","Stable","Strong clust. struct."
"WMCOnto2","Stable","Strong clust. struct.","Stable","Strong clust. struct."
