"","agro_stab","agro_sil","obo_stab","obo_sil"
"ANOnto","0.88","0.72","0.9","0.73"
"AROnto","0.96","0.9","0.81","0.85"
"CBOOnto","0.83","0.8","0.77","0.75"
"CBOOnto2","0.83","0.8","0.77","0.75"
"CROnto","0.68","0.97","0.9","0.93"
"DITOnto","0.96","0.7","0.79","0.56"
"INROnto","0.88","0.81","0.79","0.71"
"LCOMOnto","0.76","0.66","0.81","0.61"
"NACOnto","0.81","0.83","0.86","0.74"
"NOCOnto","0.9","0.68","0.87","0.82"
"NOMOnto","0.83","0.89","0.78","0.66"
"POnto","0.81","0.75","0.88","0.59"
"PROnto","0.95","0.66","0.97","0.64"
"RFCOnto","0.84","0.89","0.79","0.66"
"RROnto","0.95","0.66","0.97","0.64"
"TMOnto","0.79","0.84","0.93","0.69"
"TMOnto2","0.94","0.91","0.77","0.79"
"WMCOnto","0.93","0.83","0.82","0.88"
"WMCOnto2","0.77","0.86","0.81","0.88"
