"","Agro_stability_max_k","Agro_quality_max_k","Agro_global_max_k","Obo_stability_max_k","Obo_quality_max_k","Obo_global_max_k"
"ANOnto",3,3,3,7,3,3
"AROnto",3,3,3,8,10,10
"CBOOnto",5,3,3,9,9,9
"CBOOnto2",5,3,3,9,9,9
"CROnto",8,3,3,3,3,3
"DITOnto",3,15,3,4,15,15
"INROnto",5,3,3,9,4,9
"LCOMOnto",8,15,8,3,10,10
"NACOnto",7,8,8,4,4,4
"NOCOnto",3,5,3,3,4,4
"NOMOnto",7,3,3,6,14,14
"POnto",3,3,3,3,6,6
"PROnto",3,5,3,3,15,15
"RFCOnto",7,3,3,7,3,7
"RROnto",3,4,4,3,14,14
"TMOnto",8,8,8,6,6,6
"TMOnto2",4,10,4,3,12,12
"WMCOnto",4,3,3,10,4,10
"WMCOnto2",3,3,3,9,3,9
