"","Agro_stability_max_k","Agro_quality_max_k","Agro_global_max_k","Obo_stability_max_k","Obo_quality_max_k","Obo_global_max_k"
"ANOnto",3,3,3,14,10,10
"AROnto",3,3,3,6,9,9
"CBOOnto",5,3,3,7,4,7
"CBOOnto2",5,3,3,7,4,7
"CROnto",8,3,3,3,3,3
"DITOnto",3,15,3,4,15,15
"INROnto",5,3,3,9,3,3
"LCOMOnto",8,3,8,3,9,9
"NACOnto",7,8,8,4,4,4
"NOCOnto",3,5,3,3,3,3
"NOMOnto",7,3,3,13,14,14
"POnto",3,3,3,3,4,4
"PROnto",4,7,7,3,8,8
"RFCOnto",7,3,3,7,3,3
"RROnto",4,7,7,3,8,8
"TMOnto",8,8,8,6,9,9
"TMOnto2",4,8,8,3,12,12
"WMCOnto",4,3,3,6,3,3
"WMCOnto2",3,3,3,9,3,3
