"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","7",0.858877756405254,0.669713986648362,"3",0.815834883666262,0.724967087995204,"3"
"AROnto","8",0.828057555594709,0.852165272904521,"10",0.791895067862151,0.868620185292977,"10"
"CBOOnto","9",0.817214295818973,0.614649090953906,"9",0.817214295818973,0.614649090953906,"9"
"CBOOnto2","9",0.817214295818973,0.614649090953906,"9",0.817214295818973,0.614649090953906,"9"
"CROnto","3",0.893043182519572,0.933587727287439,"3",0.893043182519572,0.933587727287439,"3"
"DITOnto","4",0.831483414923192,0.554520823697419,"15",0.822349412809413,0.829352640548366,"15"
"INROnto","9",0.82877536789984,0.62209606985713,"9",0.82877536789984,0.62209606985713,"9"
"LCOMOnto","3",0.92322502652542,0.538522038089009,"8",0.845148500514904,0.607568285152932,"8"
"NACOnto","4",0.917391289204009,0.668553333893157,"4",0.917391289204009,0.668553333893157,"4"
"NOCOnto","3",0.863085663563461,0.807847873329464,"4",0.816742490134596,0.815878504881226,"4"
"NOMOnto","6",0.837093126148042,0.634683919907473,"3",0.778652792723681,0.65129709066333,"3"
"POnto","3",0.903042809541691,0.585891067320046,"6",0.828230540649426,0.590302628312733,"6"
"PROnto","3",0.959642233477973,0.640865667978995,"15",0.767570725799255,0.655587719848035,"15"
"RFCOnto","7",0.804652211522154,0.577878870806775,"3",0.74644683691923,0.652123802690152,"7"
"RROnto","3",0.950352406100991,0.639058199248779,"15",0.766508916867446,0.655587719856935,"15"
"TMOnto","6",0.90893169107074,0.650828245135301,"8",0.856763723161814,0.653404186062146,"8"
"TMOnto2","3",0.929031641052543,0.726945123490563,"12",0.826244887278286,0.761969793461791,"12"
"WMCOnto","10",0.757109487716792,0.535462578013539,"4",0.718444536511284,0.783221417517756,"10"
"WMCOnto2","9",0.794128056591883,0.659598676858228,"3",0.67663688844045,0.76039141629789,"9"
