"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","3",0.874971917493485,0.713131627249944,"3",0.874971917493485,0.713131627249944,"3"
"AROnto","6",0.849410612933866,0.861096626672754,"5",0.839634697547266,0.864931983840504,"5"
"CBOOnto","7",0.830704814360251,0.625135970851537,"3",0.750948544188593,0.767526189178414,"3"
"CBOOnto2","7",0.830704814360251,0.625135970851537,"3",0.750948544188593,0.767526189178414,"3"
"CROnto","3",0.90265940741758,0.933587727287439,"3",0.90265940741758,0.933587727287439,"3"
"DITOnto","3",0.910162332775875,0.614458771369482,"15",0.845739928220501,0.749195753633018,"15"
"INROnto","8",0.779459484636235,0.616587579264574,"4",0.770272505013212,0.675406921174368,"4"
"LCOMOnto","9",0.877176671872709,0.615411773692374,"9",0.877176671872709,0.615411773692374,"9"
"NACOnto","3",0.885750461207746,0.727844266119946,"3",0.885750461207746,0.727844266119946,"3"
"NOCOnto","4",0.875652233746791,0.817286630703342,"3",0.752115099847284,0.893863221571425,"3"
"NOMOnto","14",0.84128178370396,0.6573321009852,"3",0.756603334307307,0.668414294716974,"3"
"POnto","15",0.78123215220886,0.56778986991096,"15",0.78123215220886,0.56778986991096,"15"
"PROnto","3",0.808858218399625,0.621164411611046,"12",0.776314664502164,0.631966116687756,"12"
"RFCOnto","15",0.778243161618336,0.562241917442056,"4",0.758524854265541,0.614673778942123,"4"
"RROnto","3",0.808858218399625,0.621164411606541,"12",0.776314664502164,0.631966116694061,"12"
"TMOnto","6",0.84940806826484,0.646910374057165,"4",0.759369976350529,0.688344918448873,"4"
"TMOnto2","3",0.903726578800038,0.726945123490563,"10",0.88699091343124,0.778141201897103,"10"
"WMCOnto","5",0.789572118363392,0.778999784625771,"3",0.777934918892284,0.879980348430652,"3"
"WMCOnto2","7",0.839157550802711,0.739389143089539,"3",0.756531588006901,0.852294806413727,"3"
