"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","3",0.897984116682321,0.729102049440001,"3",0.897984116682321,0.729102049440001,"3"
"AROnto","4",0.812812420248981,0.849090754621164,"9",0.741376909038002,0.868404802052179,"4"
"CBOOnto","7",0.82248887574564,0.623099888759088,"3",0.770904501153558,0.748707951445555,"3"
"CBOOnto2","7",0.82248887574564,0.623099888759088,"3",0.770904501153558,0.748707951445555,"3"
"CROnto","3",0.900937696094121,0.933587727287439,"3",0.900937696094121,0.933587727287439,"3"
"DITOnto","3",0.79275395135821,0.560860674990813,"15",0.646700675032595,0.675506803566245,"3"
"INROnto","9",0.793837613994699,0.571015419359854,"3",0.793143091512478,0.709689173802215,"3"
"LCOMOnto","4",0.863048315897339,0.586367400236746,"8",0.808855422994361,0.610986956911366,"8"
"NACOnto","4",0.927820275959764,0.671325230305865,"3",0.85832233553317,0.736285305441061,"3"
"NOCOnto","3",0.865712493811257,0.816561776417992,"3",0.865712493811257,0.816561776417992,"3"
"NOMOnto","6",0.803725799464012,0.636075008003969,"3",0.784147883463809,0.66292844340381,"3"
"POnto","3",0.875459434711501,0.587531583447654,"4",0.707249587029069,0.602577353153692,"3"
"PROnto","3",0.972364979712382,0.642349379473287,"12",0.70049354652831,0.645035555399855,"3"
"RFCOnto","4",0.807429121688315,0.620932203775856,"3",0.785732821840534,0.661240389783946,"3"
"RROnto","3",0.972364979712382,0.642349379468973,"12",0.70049354652831,0.645035555408754,"3"
"TMOnto","3",0.93353743992051,0.691403162993744,"3",0.93353743992051,0.691403162993744,"3"
"TMOnto2","3",0.935891548836319,0.73783761260749,"10",0.766638694760444,0.78518258480505,"10"
"WMCOnto","3",0.815089759813289,0.879980348430652,"3",0.815089759813289,0.879980348430652,"3"
"WMCOnto2","3",0.81480185693588,0.878408479201156,"3",0.81480185693588,0.878408479201156,"3"
