"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","7",0.887021028146647,0.667082199871383,"3",0.874878120285706,0.724967087995204,"3"
"AROnto","3",0.90187328001376,0.804828337949382,"10",0.786643769646429,0.868175090107173,"10"
"CBOOnto","9",0.835544507893121,0.621886759553856,"9",0.835544507893121,0.621886759553856,"9"
"CBOOnto2","9",0.835544507893121,0.621886759553856,"9",0.835544507893121,0.621886759553856,"9"
"CROnto","3",0.908957029576027,0.933587727287439,"3",0.908957029576027,0.933587727287439,"3"
"DITOnto","14",0.826025819418677,0.800406491740327,"15",0.795633116883117,0.81627339607782,"15"
"INROnto","9",0.836498513853428,0.620077878723552,"4",0.763079039062318,0.621617122363472,"4"
"LCOMOnto","3",0.928219980367232,0.538522038089009,"10",0.854932299726417,0.605056356638917,"10"
"NACOnto","4",0.841740238911121,0.642998449157304,"4",0.841740238911121,0.642998449157304,"4"
"NOCOnto","3",0.863182012917067,0.807847873329464,"4",0.84264433158603,0.815878504881226,"4"
"NOMOnto","6",0.83206675512052,0.632289328466382,"14",0.802444167060764,0.655911175000161,"14"
"POnto","3",0.903019265308803,0.585891067320046,"6",0.867036193199666,0.587936483715717,"6"
"PROnto","3",0.953914906742008,0.640865667978995,"15",0.769970287609994,0.659333154160738,"15"
"RFCOnto","7",0.778289929177306,0.577878870806775,"3",0.709187728045142,0.652123802690152,"7"
"RROnto","3",0.945546609447805,0.642349379468973,"14",0.804601166224065,0.643912794764701,"14"
"TMOnto","6",0.885896397517946,0.661299738015388,"6",0.885896397517946,0.661299738015388,"6"
"TMOnto2","3",0.933932237699664,0.726945123490563,"12",0.85327326697971,0.761969793461791,"12"
"WMCOnto","10",0.747447283849281,0.535462578013539,"4",0.742316182585679,0.783221417517756,"4"
"WMCOnto2","6",0.792441741041595,0.706724075261367,"3",0.716572037997466,0.76039141629789,"6"
