"","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k"
"ANOnto","14",0.883734478025059,0.633802445619617,"10",0.824630387136338,0.694386680904093,"10"
"AROnto","6",0.838740601844671,0.858521730643347,"9",0.81421375031325,0.879334672030049,"9"
"CBOOnto","7",0.854094044468045,0.610460854940422,"4",0.737901691043843,0.667824900324093,"7"
"CBOOnto2","7",0.854094044468045,0.610460854940422,"4",0.737901691043843,0.667824900324093,"7"
"CROnto","3",0.8977463867803,0.933587727287439,"3",0.8977463867803,0.933587727287439,"3"
"DITOnto","4",0.89049119903678,0.546338540419344,"15",0.812326783956784,0.828451827300957,"15"
"INROnto","9",0.83697759563084,0.621432221285644,"3",0.769326342188382,0.654312817930668,"3"
"LCOMOnto","3",0.954141355400621,0.539549226293955,"9",0.880192768472911,0.613244586569811,"9"
"NACOnto","4",0.925376272262013,0.669915055881192,"4",0.925376272262013,0.669915055881192,"4"
"NOCOnto","3",0.888172449432425,0.812473859805574,"3",0.888172449432425,0.812473859805574,"3"
"NOMOnto","13",0.851183079136763,0.661907991989239,"14",0.847848498660318,0.664533195317892,"14"
"POnto","3",0.910247812925561,0.585891067320046,"4",0.791780618541722,0.595609308468631,"4"
"PROnto","3",0.964436297521364,0.640865667978995,"8",0.866044099229374,0.648893099233293,"8"
"RFCOnto","7",0.821731666509073,0.585578225488866,"3",0.755224228658177,0.645908511608561,"3"
"RROnto","3",0.964050490685346,0.640865667974936,"8",0.865447872612424,0.648893099228515,"8"
"TMOnto","6",0.920615193015845,0.652114074314945,"9",0.820909416292332,0.671438480604911,"9"
"TMOnto2","3",0.935178483604417,0.726945123490563,"12",0.829442020191507,0.775283060508676,"12"
"WMCOnto","6",0.809276228851662,0.642732815541157,"3",0.793785115114104,0.874470506927088,"3"
"WMCOnto2","9",0.814078742294051,0.659598676858228,"3",0.798420002795559,0.878408479201156,"3"
