"","k=2","k=3","k=4","k=5","k=6","k=7","k=8","k=9","k=10","k=11","k=12","k=13","k=14","k=15"
"ANOnto",0.788,0.729,0.71,0.66,0.665,0.668,0.68,0.586,0.599,0.62,0.561,0.533,0.538,0.584
"AROnto",0.947,0.818,0.849,0.797,0.82,0.848,0.845,0.868,0.866,0.861,0.854,0.867,0.846,0.834
"CBOOnto",0.826,0.749,0.669,0.668,0.654,0.623,0.596,0.548,0.535,0.543,0.477,0.529,0.49,0.509
"CBOOnto2",0.826,0.749,0.669,0.668,0.654,0.623,0.596,0.548,0.535,0.543,0.477,0.529,0.49,0.509
"CROnto",0.945,0.934,0.903,0.856,0.841,0.847,0.762,0.759,0.693,0.684,0.697,0.713,0.708,0.698
"DITOnto",0.583,0.561,0.514,0.568,0.563,0.556,0.571,0.541,0.588,0.628,0.631,0.619,0.631,0.676
"INROnto",0.934,0.71,0.707,0.645,0.587,0.612,0.6,0.571,0.564,0.494,0.505,0.563,0.524,0.536
"LCOMOnto",0.602,0.539,0.586,0.535,0.559,0.576,0.611,0.576,0.564,0.565,0.559,0.554,0.55,0.555
"NACOnto",0.748,0.736,0.671,0.621,0.631,0.611,0.602,0.615,0.601,0.608,0.606,0.596,0.608,0.591
"NOCOnto",0.922,0.817,0.816,0.611,0.625,0.593,0.527,0.548,0.552,0.542,0.541,0.554,0.551,0.544
"NOMOnto",0.948,0.663,0.604,0.643,0.636,0.597,0.588,0.616,0.612,0.588,0.592,0.604,0.62,0.626
"POnto",0.658,0.588,0.603,0.572,0.592,0.54,0.546,0.566,0.523,0.544,0.552,0.543,0.545,0.559
"PROnto",0.657,0.642,0.598,0.617,0.583,0.552,0.625,0.624,0.638,0.633,0.645,0.596,0.569,0.563
"RFCOnto",0.941,0.661,0.621,0.572,0.553,0.587,0.574,0.528,0.521,0.546,0.557,0.565,0.575,0.57
"RROnto",0.657,0.642,0.598,0.617,0.583,0.552,0.625,0.624,0.638,0.633,0.645,0.596,0.569,0.563
"TMOnto",0.725,0.691,0.627,0.622,0.605,0.642,0.599,0.625,0.605,0.605,0.629,0.62,0.629,0.607
"TMOnto2",0.951,0.738,0.718,0.692,0.721,0.719,0.723,0.775,0.785,0.747,0.767,0.747,0.759,0.754
"WMCOnto",0.985,0.88,0.835,0.817,0.659,0.624,0.534,0.52,0.476,0.483,0.49,0.511,0.523,0.552
"WMCOnto2",0.986,0.878,0.845,0.779,0.731,0.722,0.642,0.601,0.61,0.619,0.606,0.571,0.549,0.545
