"","k=3","k=4","k=5","k=6","k=7","k=8","k=9","k=10","k=11","k=12","k=13","k=14","k=15"
"ANOnto",0.9,0.73,0.82,0.72,0.64,0.7,0.72,0.72,0.73,0.73,0.71,0.71,0.75
"AROnto",0.73,0.81,0.7,0.74,0.72,0.67,0.74,0.76,0.73,0.7,0.74,0.68,0.66
"CBOOnto",0.77,0.78,0.73,0.78,0.82,0.81,0.78,0.75,0.74,0.7,0.7,0.65,0.67
"CBOOnto2",0.77,0.78,0.73,0.78,0.82,0.81,0.78,0.75,0.74,0.7,0.7,0.65,0.67
"CROnto",0.9,0.85,0.83,0.78,0.86,0.81,0.83,0.8,0.77,0.75,0.76,0.75,0.75
"DITOnto",0.79,0.66,0.69,0.6,0.62,0.66,0.56,0.59,0.63,0.63,0.6,0.61,0.65
"INROnto",0.79,0.72,0.76,0.77,0.74,0.76,0.79,0.75,0.7,0.71,0.71,0.67,0.65
"LCOMOnto",0.81,0.86,0.78,0.83,0.81,0.81,0.75,0.72,0.71,0.68,0.7,0.69,0.68
"NACOnto",0.86,0.93,0.83,0.79,0.76,0.8,0.77,0.77,0.76,0.74,0.72,0.68,0.65
"NOCOnto",0.87,0.79,0.79,0.76,0.79,0.77,0.77,0.8,0.73,0.7,0.74,0.74,0.73
"NOMOnto",0.78,0.75,0.79,0.8,0.76,0.76,0.76,0.72,0.7,0.69,0.69,0.69,0.7
"POnto",0.88,0.71,0.82,0.78,0.68,0.68,0.71,0.7,0.73,0.72,0.72,0.71,0.72
"PROnto",0.97,0.72,0.68,0.62,0.61,0.72,0.69,0.7,0.71,0.7,0.67,0.64,0.65
"RFCOnto",0.79,0.81,0.7,0.71,0.74,0.76,0.72,0.69,0.71,0.72,0.71,0.71,0.68
"RROnto",0.97,0.72,0.68,0.62,0.61,0.72,0.69,0.7,0.71,0.7,0.67,0.64,0.65
"TMOnto",0.93,0.76,0.78,0.77,0.64,0.6,0.53,0.59,0.55,0.64,0.71,0.71,0.66
"TMOnto2",0.94,0.91,0.72,0.74,0.74,0.79,0.79,0.77,0.74,0.75,0.73,0.73,0.72
"WMCOnto",0.82,0.81,0.76,0.79,0.74,0.78,0.77,0.73,0.7,0.67,0.69,0.69,0.74
"WMCOnto2",0.81,0.81,0.72,0.78,0.77,0.78,0.77,0.74,0.7,0.73,0.73,0.74,0.72
