ISSN,Journal.Impact.Factor
1759-0876,8.836
1467-5463,6.302
1367-4803,5.481
1758-0463,3.978
1553-734X,3.955
2168-2194,3.85
1759-2879,3.218
1662-5196,3.074
0741-0395,2.544
2190-8567,2.414
2040-7939,2.338
0962-2802,2.284
1062-936X,2.227
1471-2105,2.213
0010-4825,2.115
1662-5188,2.073
1752-0509,2.05
1742-4682,2
0140-0118,1.971
1868-1743,1.955
0277-6715,1.932
1093-3263,1.885
1176-9343,1.877
1756-0381,1.857
0022-5193,1.833
0303-6812,1.786
0006-3444,1.669
1687-5265,1.649
1477-8599,1.628
0303-2647,1.619
0929-5313,1.606
2041-1480,1.6
1751-3758,1.576
1431-7613,1.552
1748-670X,1.545
1748-7188,1.536
0006-341X,1.524
1465-4644,1.504
0025-5564,1.5
0092-8240,1.484
0040-5809,1.259
1547-1063,1.23
1066-5277,1.191
0323-3847,1.114
0973-5348,1.101
1085-7117,1.072
0219-7200,0.991
1751-8849,0.873
0001-5342,0.857
1793-5245,0.846
2194-573X,0.84
1946-6315,0.826
2194-6302,0.812
1913-2751,0.796
1748-5673,0.652
0218-3390,0.649
2156-7018,0.549
1574-8936,0.54
1938-7989,0.398
