ISSN,Journal.Impact.Factor
1759-0876,14.016
1367-4803,7.307
1467-5463,5.134
1553-734X,4.542
0962-2802,3.953
1662-5196,3.87
2168-2194,3.451
1758-0463,3.29
1759-2879,3.018
1471-2105,2.448
1752-0509,2.303
2040-7939,2.192
0022-5193,2.113
1868-1743,1.955
0140-0118,1.916
0741-0395,1.884
0277-6715,1.861
2041-1480,1.845
0010-4825,1.836
1662-5188,1.821
1465-4644,1.798
1748-7188,1.786
1093-3263,1.754
0303-2647,1.652
1062-936X,1.642
1477-8599,1.61
1756-0381,1.577
0303-6812,1.566
1176-9343,1.5
0929-5313,1.483
1742-4682,1.46
0006-3444,1.448
0006-341X,1.329
1751-3758,1.279
0092-8240,1.263
0025-5564,1.246
1687-5265,1.215
0323-3847,1.075
1793-5245,1.05
1751-8849,1.048
1547-1063,1.035
1066-5277,1.032
0973-5348,0.952
1748-670X,0.95
1085-7117,0.852
0219-7200,0.8
1431-7613,0.778
1913-2751,0.753
0001-5342,0.646
2194-6302,0.646
1748-5673,0.624
2156-7018,0.621
1574-8936,0.6
2194-573X,0.5
1938-7989,0.444
1946-6315,0.439
0218-3390,0.39
