ISSN,Journal.Impact.Factor
0028-0836,41.577
0036-8075,41.058
2041-1723,12.353
2375-2548,11.511
0027-8424,9.504
2095-5138,9.408
1759-0876,8.836
2047-217X,7.267
1467-5463,6.302
1367-4803,5.481
2052-4463,5.311
2090-1232,4.327
0077-8923,4.277
2095-9273,4.136
2045-2322,4.122
1758-0463,3.978
1553-734X,3.955
2168-2194,3.85
1742-5689,3.355
1759-2879,3.218
1662-5196,3.074
1932-6203,2.766
1364-503X,2.748
0741-0395,2.544
2054-5703,2.504
2190-8567,2.414
1364-5021,2.41
2040-7939,2.338
0962-2802,2.284
1062-936X,2.227
1471-2105,2.213
2167-8359,2.118
0010-4825,2.115
1662-5188,2.073
1752-0509,2.05
2373-8065,2
1742-4682,2
0140-0118,1.971
1868-1743,1.955
0277-6715,1.932
1093-3263,1.885
1176-9343,1.877
1353-3452,1.859
1756-0381,1.857
0022-5193,1.833
1076-2787,1.829
0028-1042,1.789
0303-6812,1.786
0386-2208,1.771
1454-9069,1.752
0006-3444,1.669
1687-5265,1.649
0218-348X,1.629
1477-8599,1.628
0303-2647,1.619
0929-5313,1.606
2041-1480,1.6
0036-8733,1.579
1751-3758,1.576
1431-7613,1.552
1748-670X,1.545
1748-7188,1.536
0006-341X,1.524
1465-4644,1.504
0218-1274,1.501
0025-5564,1.5
0092-8240,1.484
0040-5809,1.259
2073-8994,1.256
1547-1063,1.23
0038-2353,1.191
1066-5277,1.191
1940-087X,1.184
0970-4140,1.151
0303-6758,1.147
0323-3847,1.114
0973-5348,1.101
0036-8504,1.098
2193-567X,1.092
1085-7117,1.072
0748-5492,1.03
0219-7200,0.991
2037-4631,0.986
0001-3765,0.956
2155-3769,0.907
0011-3891,0.883
1751-8849,0.873
0001-5342,0.857
1793-5245,0.846
1736-6046,0.843
2194-573X,0.84
1946-6315,0.826
2194-6302,0.812
1913-2751,0.796
0219-5259,0.769
1026-0226,0.757
1028-6276,0.757
0369-8203,0.754
2307-4108,0.693
1748-5673,0.652
0218-3390,0.649
0126-6039,0.565
2156-7018,0.549
1574-8936,0.54
0890-3670,0.537
0003-0996,0.525
0250-541X,0.519
0011-748X,0.51
0160-9327,0.5
0372-1426,0.5
1019-3316,0.472
1905-7873,0.469
1513-1874,0.447
0125-2526,0.409
1938-7989,0.398
0262-4079,0.386
0308-0188,0.311
1391-4588,0.305
1310-1331,0.27
1806-2563,0.231
0746-9179,0.109
