issn;impact_factor
1556-603X;3.647
0884-8173;2.05
1582-7445;0.459
1088-467X;0.631
0219-1377;1.702
2210-6502;2.963
0925-8531;0.45
0266-4720;0.947
0824-7935;0.722
2162-237X;4.854
1541-1672;3.532
1751-9632;0.573
0885-6125;1.719
0924-9907;1.461
0932-8092;1.272
2168-2267;4.943
1932-1864;0.574
1568-4539;2.569
1076-9757;1.659
0765-0019;0
0269-2821;1.731
0218-4885;1
0888-613X;2.696
0219-6220;1.183
1300-0632;0.518
0890-0604;0.877
0925-2312;2.392
0218-0014;0.915
0933-3657;2.142
0218-2130;0.504
1387-2532;1.417
1935-3812;2.577
0952-1976;2.368
0169-7439;2.217
1868-8071;1.11
0924-6495;0.769
0004-3702;3.333
1570-0844;1.786
1384-5810;2.714
1383-7133;0.622
0218-1940;0.24
1064-2307;0.503
1783-7677;1.017
1361-8415;4.565
0954-0091;1.125
0891-2017;2.017
1057-7149;3.735
0738-4602;0.628
0921-7126;0.364
1758-0366;1.39
1866-9956;1.933
0885-2308;1.324
1063-6560;3.6
1381-1231;1.344
1077-3142;2.134
0921-0296;0.932
1570-8683;0.524
1079-8587;0.351
0167-9236;2.604
1567-7818;1.31
1562-2479;0.941
0957-4174;2.981
1542-3980;0.325
1069-2509;4.981
2157-6904;2.414
1568-4946;2.857
0954-898X;0.647
1210-0552;0.562
1432-7643;1.63
2168-2291;1.8
1876-1364;0.707
0167-8655;1.586
0925-9902;1
1474-0346;2
0956-5515;1.995
1064-1246;1.004
0127-9084;0.476
0886-9383;1.873
0031-3203;3.399
1370-4621;1.747
1041-4347;2.476
1335-9150;0.524
1868-5137;0.835
1943-068X;1
1063-6706;6.701
1012-2443;0.944
0162-8828;6.077
1861-8200;1.564
0262-8856;1.766
1389-0417;1.204
0941-0643;1.492
0957-4158;1.871
1566-2535;4.353
1433-2833;0.885
1662-5218;1.723
0921-8890;1.618
0269-8889;1.039
1556-4665;1.118
1641-876X;1.037
0129-0657;6.085
1389-2576;1.143
0920-5691;4.27
1936-4954;2.687
1875-6891;0.391
0168-7433;2.113
1683-3198;0.519
0899-7667;1.626
1949-3045;1.873
2212-683X;0.838
1351-3249;0.886
0893-6080;3.216
1064-5462;1.042
1089-778X;5.908
0952-813X;1.703
0929-5593;1.547
1532-4435;2.45
1570-5838;0.526
0924-669X;1.215
1433-7541;1.104
0950-7051;3.325
1943-0604;1.205
1059-7123;1.098
1942-4787;1.759
0883-9514;0.54
1552-6283;0.621
2047-4938;0.764
1865-9284;0.9
0169-023X;1.5
1392-124X;0.633
1570-8268;1.277
