issn;impact_factor
IEEE COMMUN SURV TUT;23.7
IEEE WIREL COMMUN;11.391
IEEE INTERNET THINGS;9.936
IEEE NETWORK;8.808
COMPUT SCI REV;7.707
IEEE T DEPEND SECURE;6.864
IEEE T MULTIMEDIA;6.051
IEEE T EMERG TOP COM;6.043
INFORM SCIENCES;5.91
BUS INFORM SYST ENG+;5.837
IEEE T SERV COMPUT;5.823
MIS QUART;5.37
J CHEMINFORMATICS;5.318
J STRATEGIC INF SYST;5.231
IEEE J BIOMED HEALTH;5.223
INFORM MANAGE-AMSTER;5.155
FOUND TRENDS INF RET;5.143
IEEE T MOBILE COMPUT;5.112
IEEE MULTIMEDIA;4.962
IEEE T KNOWL DATA EN;4.935
CMC-COMPUT MATER CON;4.89
INFORM PROCESS MANAG;4.787
DECIS SUPPORT SYST;4.721
IEEE T CLOUD COMPUT;4.714
INTERNET RES;4.708
IEEE WIREL COMMUN LE;4.66
J AMB INTEL HUM COMP;4.594
J CHEM INF MODEL;4.549
IEEE PERVAS COMPUT;4.418
J AM MED INFORM ASSN;4.112
IEEE SYST J;3.987
J MANAGE INFORM SYST;3.949
IEEE T NETW SERV MAN;3.878
ELECTRON COMMER R A;3.824
IEEE ACCESS;3.745
INT J GEOGR INF SCI;3.733
HUM-CENT COMPUT INFO;3.7
IT PROF;3.7
AD HOC NETW;3.643
INFORM SYST FRONT;3.63
J INF TECHNOL-UK;3.625
COMPUT SECUR;3.579
IEEE T CONTROL NETW;3.467
CLUSTER COMPUT;3.458
J OPT COMMUN NETW;3.425
INFORMATICA-LITHUAN;3.312
SCI CHINA INFORM SCI;3.304
ACM T MULTIM COMPUT;3.275
SEMANT WEB;3.182
ACM T COMPUT-HUM INT;3.147
EGYPT INFORM J;3.119
COMPUT NETW;3.111
PEERJ COMPUT SCI;3.091
IEEE T INFORM THEORY;3.036
INT J MED INFORM;3.025
J ASSOC INF SYST;2.957
KNOWL INF SYST;2.936
ACM T DATABASE SYST;2.927
VLDB J;2.904
WORLD WIDE WEB;2.892
ACM T INFORM SYST;2.889
PROC VLDB ENDOW;2.862
COMPUT COMMUN;2.816
SUSTAIN COMPUT-INFOR;2.798
PEER PEER NETW APPL;2.793
J CLOUD COMPUT-ADV S;2.788
INT J WEB GRID SERV;2.75
INFORM SOFTWARE TECH;2.726
PERVASIVE MOB COMPUT;2.725
BIG DATA RES;2.673
ACM T INTEL SYST TEC;2.672
WIREL NETW;2.659
DATA MIN KNOWL DISC;2.629
MOBILE NETW APPL;2.602
EUR J INFORM SYST;2.6
OPT SWITCH NETW;2.577
J VIS COMMUN IMAGE R;2.479
ACM T SENSOR NETWORK;2.469
INFORM SYST;2.466
J INF SCI;2.41
J ASSOC INF SCI TECH;2.41
J INF SECUR APPL;2.327
MULTIMED TOOLS APPL;2.313
J NETW SYST MANAG;2.25
J WEB SEMANT;2.238
ASLIB J INFORM MANAG;2.222
INFORM RETRIEVAL J;2.209
INT J CRIT INFR PROT;2.164
ENTERP INF SYST-UK;2.145
J GRID COMPUT;2.095
INT J COMPUT COMMUN;2.093
IEEE SECUR PRIV;2.04
ACM T KNOWL DISCOV D;2.01
PERS UBIQUIT COMPUT;2
ACM T PRIV SECUR;1.974
ACM SIGCOMM COMP COM;1.951
REQUIR ENG;1.933
INT J COOP INF SYST;1.929
INT J INF TECH DECIS;1.894
J ORGAN END USER COM;1.882
WIREL COMMUN MOB COM;1.819
J INTELL INF SYST;1.813
ONLINE INFORM REV;1.805
ACM T AUTON ADAP SYS;1.775
GEOINFORMATICA;1.774
PHOTONIC NETW COMMUN;1.75
INT J SEMANT WEB INF;1.742
DIGIT INVEST;1.736
J COMMUN NETW-S KOR;1.733
J ACM;1.686
FRONT INFORM TECH EL;1.604
ACM T INTERNET TECHN;1.598
J AMB INTEL SMART EN;1.595
J COMPUT INFORM SYST;1.582
METHOD INFORM MED;1.574
MULTIMEDIA SYST;1.563
INFORM SYST MANAGE;1.556
MOB INF SYST;1.508
INT J INF SECUR;1.494
DATA KNOWL ENG;1.476
INT J SENS NETW;1.428
INT J NETW MANAG;1.338
TSINGHUA SCI TECHNOL;1.328
SECUR COMMUN NETW;1.288
FRONT COMPUT SCI-CHI;1.275
IBM J RES DEV;1.266
PROGRAM-ELECTRON LIB;1.24
ACM T WEB;1.157
INT J DISTRIB SENS N;1.151
J ORG COMP ELECT COM;1.15
J DATABASE MANAGE;1.138
COMPUT J;1.077
IET INFORM SECUR;1.068
J SIGNAL PROCESS SYS;1.013
INFOR;0.972
COMPUT SCI INF SYST;0.927
INF TECHNOL CONTROL;0.905
ACTA INFORM;0.9
NEW REV HYPERMEDIA M;0.889
INT J WEB SERV RES;0.868
APPL ONTOL;0.852
AD HOC SENS WIREL NE;0.851
INFORM TECHNOL LIBR;0.811
J INTERNET TECHNOL;0.786
IEEE LAT AM T;0.782
DISTRIB PARALLEL DAT;0.757
INT J AD HOC UBIQ CO;0.714
SIGMOD REC;0.711
DATA TECHNOL APPL;0.704
INFORM PROCESS LETT;0.677
KSII T INTERNET INF;0.648
J INF SCI ENG;0.541
INT ARAB J INF TECHN;0.467
IEICE T INF SYST;0.449
IEICE T FUND ELECTR;0.334
BELL LABS TECH J;0
