ISSN,Journal.Impact.Factor
1759-0876,10.234
1467-5463,8.399
1367-4803,5.766
0962-2802,4.634
1553-734X,4.587
1662-5196,3.047
1662-5188,2.653
1758-0463,2.627
1759-2879,2.462
1471-2105,2.435
1752-0509,2.208
1465-4644,2.109
2168-2194,2.093
0022-5193,2.049
1062-936X,1.897
0929-5313,1.871
2040-7939,1.849
0140-0118,1.797
0303-6812,1.716
1093-3263,1.674
1756-0381,1.64
2041-1480,1.62
1868-1743,1.57
1938-7989,1.546
1066-5277,1.537
0277-6715,1.533
0010-4825,1.521
0303-2647,1.495
1748-7188,1.439
1176-9343,1.404
0006-341X,1.36
0092-8240,1.326
2194-6302,1.265
0025-5564,1.256
1477-8599,1.162
1751-3758,1.147
0006-3444,1.13
1742-4682,1.033
1547-1063,1.006
1431-7613,1
1793-5245,0.938
1748-670X,0.887
2156-7018,0.877
1913-2751,0.853
0001-5342,0.825
0973-5348,0.82
1085-7117,0.79
0219-7200,0.785
1574-8936,0.77
1751-8849,0.764
0323-3847,0.683
1946-6315,0.672
2194-573X,0.667
1748-5673,0.528
0218-3390,0.479
1687-5265,0.43
