issn;impact_factor
0166-4972;4.802
1751-5254;1.085
1094-6136;1.153
0022-3239;1.234
0399-0559;0.478
0377-2217;3.428
0924-6703;1.444
1862-4472;1.013
0191-2615;4.081
0926-6003;1.413
0953-7287;2.33
0925-5273;4.407
1471-678X;1.277
0013-791X;2
1435-246X;0.73
0305-0483;4.311
1684-3703;0.662
1566-113X;2.695
1936-6582;2.346
0219-6220;1.755
0020-7543;2.623
0272-6963;4.899
0364-765X;1.078
1389-4420;1.352
0925-7535;2.835
0171-6468;2.052
1366-5545;3.289
1220-1766;1.02
0894-069X;0.989
1004-3756;0.766
0278-6125;3.699
0305-0548;2.962
1004-4132;0.572
0957-4174;3.768
1619-4500;1.206
1865-9284;1.925
2472-5854;0
0167-9236;3.565
1432-2994;0.843
0092-2102;0.889
0025-5610;2.665
0025-1909;3.544
1748-006X;1.373
1348-9151;0.469
1747-7778;1.218
0022-4065;2.306
0969-6016;2.4
0143-2087;1.614
0257-0130;1.171
1524-1904;1.062
0020-7721;2.185
1572-5286;0.48
0269-9648;0.803
1568-4539;2.022
1098-1241;0.797
1055-6788;1.183
0028-3045;1.121
0267-5730;0.869
1134-5764;1.094
0254-5330;1.864
0951-8320;4.139
0748-8017;1.604
0167-6911;2.656
0740-817X;1.759
0030-364X;2.263
1547-5816;0.994
0038-0121;1.61
1696-2281;1.344
1063-293X;1.456
1523-4614;1.795
0233-1934;1.17
0160-5682;1.396
0305-215X;1.622
0167-6377;0.643
0315-5986;0.257
0041-1655;3.338
0951-192X;1.995
1109-2858;1.816
1091-9856;1.392
1932-8184;4.337
0217-5959;0.558
1059-1478;1.772
0925-5001;1.407
