issn;impact_factor
0022-4065;1.833
1684-3703;0.486
0167-6911;2.55
0957-4174;3.928
0267-5730;1.036
0167-9236;3.222
0969-6016;1.745
0894-069X;0.753
1432-2994;0.762
1348-9151;0.543
1059-1478;1.95
1220-1766;0.776
1566-113X;2.662
1747-7778;0.772
0305-215X;1.728
0925-5001;1.733
1524-1904;1.095
0041-1655;3.275
0028-3045;1.213
1134-5764;0.899
0191-2615;3.769
0364-765X;1.157
0038-0121;1.163
1523-4614;1.683
0233-1934;0.943
1063-293X;1
1055-6788;1.023
0171-6468;1.557
0377-2217;3.297
1471-678X;1.488
1094-6136;1.281
0092-2102;0.579
0020-7543;2.325
1547-5816;0.994
0399-0559;0.55
1389-4420;1.135
0748-8017;1.366
0926-6003;1.52
1751-5254;0.775
1098-1241;0.5
0219-6220;1.664
0740-817X;1.451
1004-3756;0.915
0020-7721;2.285
0305-0483;4.029
0278-6125;2.77
0160-5682;1.077
0305-0548;2.6
0217-5959;0.364
0315-5986;0.189
1862-4472;1.31
0924-6703;1.66
0254-5330;1.709
0030-364X;1.779
0925-7535;2.246
1865-9284;2.205
1748-006X;1.084
1696-2281;0.812
0013-791X;2.207
0951-8320;3.153
1366-5545;2.974
0269-9648;0.562
0272-6963;5.207
0167-6377;0.657
0025-5610;2.446
1109-2858;1.065
0022-3239;1.289
1932-8184;3.882
0166-4972;3.265
0953-7287;2.369
0025-1909;2.822
1619-4500;1.559
1936-6582;1.98
1004-4132;0.529
0143-2087;1.558
1435-246X;0.659
1572-5286;0.469
0257-0130;1.06
0925-5273;3.493
1091-9856;1.173
0951-192X;1.949
1568-4539;1.681
0275-5823;0.176
