"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size"
"ANOnto","0,775400140915334","0,425281793616442","0,661414846707675","0,517287793323419","0,396583644404202","0,617101529819231","25","19","113","29","11"
"AROnto","0,93293851710146","0,671627028247749","0,533959842002738","0,607195711264552","0","0,873295759197527","159","26","6","5","1"
"CBOOnto","0,463836456055776","0,797464855720184","0,509568017445347","0,401188019127948","0","0,709893349774099","4","144","36","12","1"
"CBOOnto2","0,463836456055776","0,797464855720184","0,509568017445347","0,401188019127948","0","0,709893349774099","4","144","36","12","1"
"CROnto","0,999697964689849","0","0","0","0","0,979399528858583","193","1","1","1","1"
"DITOnto","0,72803101132451","0,447627455734431","0,567838193634235","0,472540291140564","0,72057597327216","0,541059832436429","21","47","69","49","11"
"INROnto","0,80730819389894","0,805102121113697","0,491623563393331","0,185280402760288","0","0,721678117405299","4","147","40","5","1"
"LCOMOnto","0,638753112359357","0,535991018411978","0,506237976887687","0,604943068601403","0,746848501865072","0,578876928981063","63","49","48","31","6"
"NACOnto","0,819060624866132","0,496468293496974","0,447309644893762","0,539622867634038","0,639047705950429","0,682303868428384","114","36","27","17","3"
"NOCOnto","0,77029451096747","0,528783217847901","0,353048494183654","0,342957390878655","0,653344964152169","0,70798510941712","154","29","9","3","2"
"NOMOnto","0,706189081931526","0,554843620381955","0,306726874306348","0,822669126412711","0,998713304986838","0,667936229707491","146","42","5","2","2"
"POnto","0,612977502297618","0,567998287742585","0,675647398707368","0,564155180071836","0,582555456114582","0,632479174255868","18","25","110","32","12"
"PROnto","0,870419300495867","0,53259967388347","0,475895144800079","0,536440843247898","0,529882767359519","0,607366737425656","50","26","41","58","22"
"RFCOnto","0,700482073622982","0,606122083303704","0,285729398681473","0,82822689197765","0,998737034638721","0,673494479138921","148","39","6","2","2"
"RROnto","0,529882767359518","0,536440843247898","0,475895144800079","0,532599673899787","0,870419300495096","0,607366737427614","22","58","41","26","50"
"TMOnto","0,822810331336702","0,487981730244114","0,63416372354054","0,447818392362181","0,598041636355727","0,68327924375442","104","38","25","22","8"
"TMOnto2","1","0,850974154802549","0,464252040168182","0,472974303313177","0,473947156838959","0,763579683603993","59","70","36","23","9"
"WMCOnto","0,878246229773341","0,453410647686995","0,573338943750852","0,661998996350104","0","0,835938969188822","175","11","7","3","1"
"WMCOnto2","0,883541390138581","0,427233747242333","0,585077511534594","0,505202258126604","0","0,83297369073163","173","12","7","4","1"
