"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Cluster_6_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size","Cluster_6_Size"
"ANOnto","0,902646016228048","0,653151645677924","0,489393396991093","0,729614803773162","0,475409242771297","0,396583644404202","0,663828629434799","21","13","19","104","29","11"
"AROnto","0,959939357836957","0,462323599056084","0,565461964428633","0,533959842002738","0,607195711264552","0","0,843187158364704","144","15","26","6","5","1"
"CBOOnto","0,458781636298618","0,770570692424764","0,55622372705724","0,476098210612097","0,685793365013975","0","0,702431955413996","4","141","32","14","5","1"
"CBOOnto2","0,458781636298618","0,770570692424764","0,55622372705724","0,476098210612097","0,685793365013975","0","0,702431955413996","4","141","32","14","5","1"
"CROnto","0,943537911567652","0,840929222423407","0","0","0","0","0,906670667521078","159","34","1","1","1","1"
"DITOnto","0,62322518741681","0,58672274352192","0,572571585525285","0,628327562125299","0,83710407239819","0,571305374001452","0,604248114500213","68","69","42","9","5","4"
"INROnto","0,801899736392699","0,781394196125825","0,480500367620153","0,543819864313763","0,749126786642743","0","0,697768763080865","4","134","38","18","2","1"
"LCOMOnto","0,601186528392555","0,47961062435063","0,568355485615972","0,588838435315932","0,562167398202892","0,743139134202775","0,557849552180585","29","51","51","31","29","6"
"NACOnto","0,80368816545627","0,482039069769665","0,543947733749073","0,548646765374333","0,399711915627146","0,626934488369451","0,667901262838783","108","31","29","12","14","3"
"NOCOnto","0,737614935036025","0,455123594592767","0,465302891625544","0,580053121123288","0,416122987993338","0,626355239988446","0,650815919956422","134","39","18","2","2","2"
"NOMOnto","0,72598228775437","0,500370451380493","0,446852405287467","0,416907785887332","0,802764869727254","0,998713304986838","0,62177375289689","105","64","21","3","2","2"
"POnto","0,682556487719759","0,53679919318169","0,34024240314937","0,429114149406043","0,603366517399034","0,517047668433145","0,453087626162795","16","26","79","42","22","12"
"PROnto","0,778768503686677","0,381393677370459","0,497165806337171","0,528519444037127","0,513114133014231","0,699614959519217","0,578562848083182","58","33","29","40","28","9"
"RFCOnto","0,682455214235816","0,508346101050026","0,510186325799668","0,391693899501909","0,804189967929045","0,998737034638721","0,600532817007148","97","66","27","3","2","2"
"RROnto","0,603313891312308","0,524266922804468","0,566892594679714","0,545786458874419","0,679702607486319","0,89822856145743","0,650933039762025","11","35","46","35","22","48"
"TMOnto","0,893870835863442","0,502271482204251","0,588209712954173","0,585391413132013","0,441127627611266","0,598041636355727","0,686032200774316","84","37","22","24","22","8"
"TMOnto2","1","0,839078826327403","0,576410950852559","0,501336816053064","0,464951257481387","0,430894957466057","0,777872062647507","59","69","31","25","10","3"
"WMCOnto","0,77928071071057","0,499898361875373","0,486753003235511","0,536531021871592","0,661998996350104","0","0,711906683037037","149","29","8","7","3","1"
"WMCOnto2","0,875763758373224","0,474397167104676","0,4221424548055","0,572842037851261","0,473289871237692","0","0,789169432316538","155","25","6","6","4","1"
