"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0.800599207999483","0.740680706800063","0.756812610969137","21","57"
"AROnto","0.946604125181232","0.703432204392086","0.937251358997034","75","3"
"CBOOnto","0.497270798583423","0.74629021880559","0.73351999212753","4","74"
"CBOOnto2","0.791002920301201","0.531101131907332","0.764346326619778","70","8"
"CROnto","0.995573835591249","0.336033992273067","0.978662557557449","76","2"
"DITOnto","0.808228591500441","0.627095955440066","0.791973098520664","71","7"
"INROnto","0.782849077236297","0.514568863245663","0.755333157852642","70","8"
"LCOMOnto","0.73250586946379","0.474468526494531","0.666342448189621","58","20"
"NACOnto","0.866071167546169","0.442835538381558","0.822662385067747","70","8"
"NOCOnto","0.980511241460269","0.758202537709866","0.974811018287182","76","2"
"NOMOnto","0.998951991542688","0.998727124712078","0.998946225726518","76","2"
"POnto","0.597027916672652","0.858451889308248","0.794771690845731","19","59"
"PROnto","0.682095207377823","0.569841419755697","0.621650860196678","36","42"
"RFCOnto","0.998933365017999","0.998750623948111","0.99892867934954","76","2"
"RROnto","0.56984141975856","0.682095207375375","0.62165086019709","42","36"
"TMOnto","0.880698026285555","0.449166279462099","0.819840985066863","67","11"
"TMOnto2","1","0.920660139329432","0.962364425066525","41","37"
"WMCOnto","0.958506984033175","0.882675698104169","0.956562592086278","76","2"
"WMCOnto2","0.973394381133","0.75003696561948","0.967667267914704","76","2"
