"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Cluster_6_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size","Cluster_6_Size"
"ANOnto","0.975606867624213","0.551815079629868","0.589961476494683","0.516276090510364","0.42607637351924","0.398987269498499","0.582477169669816","16","5","6","22","22","7"
"AROnto","0.942212534098976","0.439393619338081","0.684429662328659","0.71615978193371","0.529714148796833","0.622968053765128","0.867283601266987","62","4","3","2","4","3"
"CBOOnto","0.62887371308285","0.3386084242888","0.772118796000029","0.533248897219113","0.663118706573773","0.56923188636078","0.685421742829573","3","5","49","13","6","2"
"CBOOnto2","0.546840956835405","0.535312568131747","0.551542470271878","0.741963331300229","0.376994978439728","0.32812049344011","0.614306539506113","3","2","5","47","14","7"
"CROnto","0.912986978118666","0.836194330997293","0","0","0","0","0.834662457344838","42","32","1","1","1","1"
"DITOnto","0.657043092589458","0.566648481044122","0.692371019793133","0.732531055900621","0.223847517730496","0.582248550669603","0.61833928910482","17","31","14","8","2","6"
"INROnto","0.744037507715089","0.497696499738349","0.754353135648279","0.493959429184717","0.62343190680129","0.574860384982167","0.682637968427006","4","5","49","12","6","2"
"LCOMOnto","0.756254261538546","0.518853763189181","0.465878409823146","0.512362636973574","0.452924702008723","0.947651948236216","0.526750080522399","9","13","27","14","13","2"
"NACOnto","0.957243869736097","0.545104355383614","0.48520371338736","0.495888347747923","0.737116871190156","0.92075661911271","0.79538567830244","46","13","7","7","3","2"
"NOCOnto","0.614891392475326","0.465940671452465","0.617142526288696","0.503029649267304","0.598954615271841","0.746615540003981","0.543191161998909","14","29","13","13","7","2"
"NOMOnto","0.672239690538946","0.340946217868152","0.507685519045138","0.740673141377427","0","0.998712417202756","0.563371903800373","45","24","4","2","1","2"
"POnto","0.928976495546181","0.757717893239201","0.514855146367251","0.634824532619345","0.77498492873544","0.584914688164721","0.741387284300395","7","5","7","6","48","5"
"PROnto","0.97982603752598","0.428075495500046","0.490439507047376","0.663052546672126","0.614848512432608","0.633225970523704","0.687834394190512","20","6","14","23","7","8"
"RFCOnto","0.715822996715038","0.593412899206078","0.282069475608576","0.810957975553598","0","0.998736164242271","0.614501950410714","31","33","9","2","1","2"
"RROnto","0.633225970523704","0.541849344796949","0.579435750854666","0.432933468384082","0.597237423666053","0.826253990118762","0.630438826294477","8","7","10","16","13","24"
"TMOnto","0.979473298486598","0.539139157681071","0.62916442628861","0.608633795840059","0.782213028655429","0","0.814422068079204","46","15","6","7","3","1"
"TMOnto2","1","0.842509808604893","0.622483618616316","0.777223166605601","0","0","0.882270342144264","41","26","7","2","1","1"
"WMCOnto","0.60118183078458","0.696256184270803","0.414624774228497","0.600508108564231","0.432190852016478","0.865852511429982","0.594625630751789","13","31","15","10","7","2"
"WMCOnto2","0.574508528365466","0.523327200895909","0.613898805855481","0.801395756557793","0","0.6837653980522","0.578401884026136","52","11","8","4","1","2"
