"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size"
"ANOnto","0.67635799981745","0.595668784109292","0.501404741775964","0.428128240450187","0.573126532251874","14","70","28","7"
"AROnto","0.939454854012676","0.608327037827352","0.35238077633666","0","0.849090754621164","93","19","6","1"
"CBOOnto","0.772541513017803","0.509194051338083","0.400258464765069","0","0.668757315056433","79","27","12","1"
"CBOOnto2","0.772541513017803","0.509194051338083","0.400258464765069","0","0.668757315056433","79","27","12","1"
"CROnto","0.928980296613558","0.44958134164279","0.620578912971106","0.801328964135092","0.902945820682739","110","4","3","2"
"DITOnto","0.578153399892046","0.517392361746579","0.586232148853104","0.285305139676057","0.528926654839344","20","53","36","10"
"INROnto","0.755460550683975","0.553289015150163","0.771295764974581","0","0.706905269083571","91","25","2","1"
"LCOMOnto","0.589322050160078","0.56621209496774","0.611063445331549","0.650345146251476","0.586367400236746","31","54","30","4"
"NACOnto","0.780046911705949","0.494692101055678","0.57373587731526","0.637878305275696","0.671325230305865","68","33","15","3"
"NOCOnto","0.864168170405387","0.505911594747482","0.588517708077297","0.416122987993338","0.815878504881226","103","12","2","2"
"NOMOnto","0.727498168558632","0.506242394133502","0.451822169382021","0","0.603972261587388","61","32","25","1"
"POnto","0.480297811625731","0.526300105224133","0.532175087392025","0.515539026412967","0.518742646342361","20","53","31","15"
"PROnto","0.714732148607782","0.599099056152943","0.514130108871042","0.528746397518812","0.608041162059194","44","23","25","27"
"RFCOnto","0.707939137942827","0.535583243709074","0.517758625850962","0","0.620932203775856","64","35","19","1"
"RROnto","0.528746397518812","0.514130108871042","0.599099056156683","0.714732148589648","0.608041162053212","27","25","23","44"
"TMOnto","0.762789284436643","0.507759958792618","0.585438435450862","0.590588993399991","0.681807625214143","75","24","14","6"
"TMOnto2","1","0.73741486590679","0.53003587758428","0.537955772896232","0.718481469843933","18","67","25","9"
"WMCOnto","0.889834797591529","0.487724658822901","0.475456420784859","0","0.834534646914701","104","9","5","1"
"WMCOnto2","0.890163019171444","0.546178048445501","0.551370079634211","0","0.845322620157451","105","8","5","1"
