"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Cluster_6_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size","Cluster_6_Size"
"ANOnto","0.531555379357489","0.488018074813215","0.623517429974899","0.561647474251182","0.532510384834069","0.902088872339703","0.593791769338573","8","8","68","25","8","2"
"AROnto","0.936296727485152","0.521195550034399","0.720321185250759","0.429534136276238","0.261976793074859","0","0.820194469809095","85","8","13","8","4","1"
"CBOOnto","0.737553971894648","0.524064605397768","0.565567374853451","0.674164996265029","0.6017780217064","0","0.653598685871286","65","26","15","7","5","1"
"CBOOnto2","0.737553971894648","0.524064605397768","0.565567374853451","0.674164996265029","0.6017780217064","0","0.653598685871286","65","26","15","7","5","1"
"CROnto","0.899362498429809","0.470344599574773","0.86014995925603","0.692018025700384","0.532129881456222","0.801328964135092","0.841050786416557","98","12","2","2","3","2"
"DITOnto","0.566296196009076","0.68057796241026","0.536614502868893","0.556273576839055","0.398317304853246","0.865127141368722","0.564311606394436","9","22","37","29","17","5"
"INROnto","0.732429214614002","0.476701259161324","0.408969356653594","0.544193204393641","0.738550328544269","0","0.587424855477853","54","28","22","12","2","1"
"LCOMOnto","0.621170317811509","0.571497326299301","0.54882115414843","0.537147946554207","0.53081709029433","0.625355146565348","0.559034123148065","15","20","38","20","22","4"
"NACOnto","0.783632712455275","0.430810330396571","0.60033303785207","0.493155840637575","0.518007666410876","0.572403436016028","0.631333627299481","54","25","18","13","6","3"
"NOCOnto","0.669807057527711","0.512732618961454","0.685683520677141","0.588259315572099","0.499062216115434","0.416122987993338","0.625361285041919","76","27","8","4","2","2"
"NOMOnto","0.803643963297703","0.500146661808019","0.555960761528464","0.586664195645251","0.507508556555264","0","0.636075008003969","46","26","18","19","9","1"
"POnto","0.570871312215901","0.49726786537648","0.620576901088672","0.558443259714921","0.532234932234879","0.46688070533237","0.571428519719387","8","18","53","24","11","5"
"PROnto","0.851521381486501","0.682976938128372","0.520637966867748","0.48350659759913","0.509131667137666","0.370586193756223","0.591555566305731","28","17","17","17","22","18"
"RFCOnto","0.725007766678084","0.476306287739231","0.427852477495769","0.624811170038077","0.452933056726454","0","0.553258114903959","35","31","31","17","4","1"
"RROnto","0.519586804059818","0.632132889568283","0.547022144400703","0.476347313393147","0.485801807280463","0.665948471425878","0.583128366204313","8","20","16","17","16","42"
"TMOnto","0.81488771340662","0.462434088673233","0.567047350362683","0.531050880878317","0.428359881572898","0.642760264037426","0.604584701065746","39","23","15","17","19","6"
"TMOnto2","1","0.811492248181574","0.573554397450576","0.56975911285972","0.44222084667325","0.513753563676399","0.720038128711596","18","48","24","14","10","5"
"WMCOnto","0.757043279988298","0.441139922827565","0.498932981703505","0.433581642881989","0.646557653521619","0","0.658551140587169","80","22","8","5","3","1"
"WMCOnto2","0.855277619886257","0.401626319537062","0.601625710553087","0.412204588859979","0.521047402147374","0","0.731337710645728","84","20","5","5","4","1"
