"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0,713440631407865","0,785881653868051","0,772643700525073","36","161"
"AROnto","0,927807454915982","0,339051283651852","0,909875794877481","191","6"
"CBOOnto","0,854880005971752","0,298961017709522","0,818194996594041","184","13"
"CBOOnto2","0,854880005971752","0,298961017709522","0,818194996594041","184","13"
"CROnto","0,998265042996557","0,337058786968707","0,991552289128254","195","2"
"DITOnto","0,683071752309489","0,356072891262279","0,583478190569222","137","60"
"INROnto","0,948859835206941","0","0,944043287820104","196","1"
"LCOMOnto","0,636681921395807","0,491236110821284","0,591645401370193","136","61"
"NACOnto","0,833242761016893","0,432285757492775","0,79253646624287","177","20"
"NOCOnto","0,971178750264036","0,757548882145609","0,969009919115626","195","2"
"NOMOnto","0,999214925375583","0,998727300505419","0,999209974869286","195","2"
"POnto","0,582450601035576","0,749422274893604","0,715519396952887","40","157"
"PROnto","0,696867372000034","0,59344085061826","0,642791576556772","94","103"
"RFCOnto","0,999165574089834","0,998750726078025","0,999161362434891","195","2"
"RROnto","0,609972252338601","0,670791030775912","0,640227279175436","99","98"
"TMOnto","0,796330437443243","0,588322144675616","0,762542288364237","165","32"
"TMOnto2","1","0,936346972441278","0,955410569527393","59","138"
"WMCOnto","0,995070228519686","0","0,990019110608419","196","1"
"WMCOnto2","0,995901834127669","0","0,990846494868138","196","1"
