"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0,745178640332086","0,726494111510738","0,489471927614232","0,706858844941663","34","144","19"
"AROnto","0,949018019968987","0,476736158668529","0,159214140989743","0,848247244154316","159","32","6"
"CBOOnto","0,813595146675728","0,469207935665195","0","0,774502053442802","176","20","1"
"CBOOnto2","0,813595146675728","0,469207935665195","0","0,774502053442802","176","20","1"
"CROnto","0,997445306105946","0","0","0,987318957820606","195","1","1"
"DITOnto","0,637683707915875","0,510072394833501","0,519524209038216","0,569787412690209","91","90","16"
"INROnto","0,606889344579472","0,603093790480492","0","0,600128734541479","5","191","1"
"LCOMOnto","0,665684117083989","0,579660426030504","0,426051315214415","0,587739614338977","81","81","35"
"NACOnto","0,803727830976293","0,553327100486304","0,672334008035823","0,767408027970957","167","27","3"
"NOCOnto","0,931720245637201","0,402674171518325","0,671355901209515","0,918334900533998","191","4","2"
"NOMOnto","0,935374420506724","0,311295670462705","0,998717418652943","0,923345846882949","191","4","2"
"POnto","0,547535215897524","0,709479470113971","0,490384918150392","0,640428219215562","38","125","34"
"PROnto","0,763178075677235","0,5058208020363","0,513529530417908","0,604410476859284","74","74","49"
"RFCOnto","0,927742850581983","0,302445627220608","0,998741092563643","0,915767254594763","191","4","2"
"RROnto","0,513529530417908","0,505820802040008","0,763178075670003","0,604410476857961","49","74","74"
"TMOnto","0,810168844693129","0,567446943011272","0,54687598600132","0,740524266933326","142","37","18"
"TMOnto2","1","0,778454064633615","0,449163518802394","0,803017245043951","59","113","25"
"WMCOnto","0,931027293863708","0,520888394001134","0","0,905482033495741","186","10","1"
"WMCOnto2","0,937044722799987","0,558976948887148","0","0,911177767288103","185","11","1"
