"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size"
"ANOnto","0,755250140665476","0,429290348740612","0,758600154733796","0,490074910066871","0,70155332404863","26","20","134","17"
"AROnto","0,943295423184765","0,563146951237882","0,491560312583486","0","0,864564989906592","159","30","7","1"
"CBOOnto","0,418589687812881","0,69324769493355","0,45946486397832","0","0,659023358133339","5","171","20","1"
"CBOOnto2","0,772473056750726","0,514510397633984","0,406591035803971","0","0,697814804489654","147","37","12","1"
"CROnto","0,996515157282013","0","0","0","0,981339799556906","194","1","1","1"
"DITOnto","0,62322518741681","0,627163443928859","0,472540291140564","0,72057597327216","0,592560407854395","68","69","49","11"
"INROnto","0,816043647451898","0,7727222111373","0,459271182452777","0","0,723536849219888","4","163","29","1"
"LCOMOnto","0,652883823929581","0,560381413846757","0,614047758919159","0,754308097621626","0,613386870632591","80","76","35","6"
"NACOnto","0,826630371639424","0,495478359561531","0,607480162439535","0,639047705950429","0,729218482822316","132","45","17","3"
"NOCOnto","0,813606358810119","0,480588407849877","0,419287762704197","0,653344964152169","0,767094219471443","169","23","3","2"
"NOMOnto","0,786734533440627","0,2519629934891","0,855343560735948","0,998713304986838","0,738006189981764","174","19","2","2"
"POnto","0,682556487719759","0,563277967241303","0,720594083602202","0,472685376731205","0,653955928307195","16","26","121","34"
"PROnto","0,758866574866696","0,607366131124137","0,533558922554996","0,556098371463152","0,629582734702605","68","42","65","22"
"RFCOnto","0,772530743432945","0,369614246142165","0,859138372852178","0,998737034638721","0,714348677049831","163","30","2","2"
"RROnto","0,556098371463152","0,533558922554996","0,607366131128163","0,75886657485788","0,62958273470042","22","65","42","68"
"TMOnto","0,811074242351774","0,501624055903364","0,48530984628166","0,615212364511826","0,703742528577957","127","38","24","8"
"TMOnto2","1","0,788399444112397","0,495673862891921","0,542852260853705","0,788547224850081","59","94","35","9"
"WMCOnto","0,913450325932465","0,485413705377547","0,438997385546935","0","0,872871047485946","180","11","5","1"
"WMCOnto2","0,894608064894127","0,382761666084218","0,398071663501399","0","0,833683552891385","174","12","10","1"
