"Metric","Mean_stability_k_2","Mean_stability_k_3","Mean_stability_k_4","Mean_stability_k_5","Mean_stability_k_6"
"ANOnto","0.987912995653173","0.863432124952189","0.802151932030876","0.623024427046227","0.66080267468895"
"AROnto","0.901944075707206","0.918574236271911","0.741788479731069","0.765728101834387","0.564567460534531"
"CBOOnto","0.795130452312888","0.810889933956702","0.77712079074569","0.774490613648768","0.657390340213378"
"CBOOnto2","0.818269847468813","0.822822733314479","0.755835013211051","0.696088408629127","0.735134636017024"
"CROnto","0.87","0.278469148738865","0.22","0.17","0.13"
"DITOnto","0.883910789277627","0.977793185987938","0.75626428202055","0.570680405205167","0.742579112656502"
"INROnto","0.825833760060533","0.873230515884766","0.655179937043639","0.688776862419709","0.601828400372563"
"LCOMOnto","0.906842711177123","0.73783955339894","0.581422762546931","0.76183783606097","0.59596705974597"
"NACOnto","0.911942033894524","0.869827083450583","0.592177096509288","0.618790693337498","0.702989687156275"
"NOCOnto","0.86","0.855202474985854","0.824473746602265","0.748584009223226","0.785065899027109"
"NOMOnto","0.84","0.80104643711096","0.59328639123272","0.483086424379581","0.361612285309339"
"POnto","0.994630222314433","0.722689886675758","0.642061272739623","0.822054482788306","0.500823716316439"
"PROnto","0.964048958318318","0.951740051678428","0.907011305717646","0.761442757655142","0.763915305612287"
"RFCOnto","0.85","0.730235623548216","0.558530516597243","0.487738590842621","0.470572809335867"
"RROnto","0.966456389626635","0.946383763119599","0.912411945506427","0.685908730504102","0.762146658424135"
"TMOnto","0.952936525951357","0.485118565184574","0.732311084819021","0.748975785642008","0.51937813133041"
"TMOnto2","1","0.928844328087737","0.963400326797386","0.558277667007392","0.752357203554959"
"WMCOnto","0.86","0.820640376698029","0.908778702040299","0.764344732294991","0.720166565237582"
"WMCOnto2","0.88","0.859427932678062","0.742258442152511","0.641825261142895","0.689789666436667"
