"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0.776503893228803","0.727323154673576","0.480402508603198","0.715238928277381","21","49","8"
"AROnto","0.948683929983413","0.633475441180819","0.64639156160304","0.896645955712041","65","10","3"
"CBOOnto","0.729150468973783","0.837163980492344","0.503879033701284","0.798826543198957","3","67","8"
"CBOOnto2","0.729150468973783","0.837163980492344","0.503879033701284","0.798826543198957","3","67","8"
"CROnto","0.993481755438736","0","0","0.96800786427364","76","1","1"
"DITOnto","0.777652749924297","0.542675315282773","0.7234780166257","0.701184713627013","48","24","6"
"INROnto","0.797974613685896","0.852992797547167","0.476749506730617","0.811582296752584","4","66","8"
"LCOMOnto","0.745525785601083","0.540207777367676","0.283136863737089","0.658638761433676","50","24","4"
"NACOnto","0.85423783388015","0.611078099954169","0.351916119117433","0.793980831583389","64","9","5"
"NOCOnto","0.751668102443587","0.466400870438426","0.751529199515819","0.678519096726167","56","20","2"
"NOMOnto","0.914715966602578","0.246631112310499","0.99871849075805","0.891174306159433","73","3","2"
"POnto","0.574823791422777","0.802161472392225","0.498969168097892","0.723461860030872","19","53","6"
"PROnto","0.830513186829289","0.567367303603489","0.60312492260164","0.661959063204041","26","37","15"
"RFCOnto","0.9121582507564","0.245999821423076","0.998742151894864","0.888756872734309","73","3","2"
"RROnto","0.60312492260164","0.567367303606771","0.830513186830997","0.661959063206167","15","37","26"
"TMOnto","0.861002785592182","0.50895699153666","0.273373739819127","0.781220478954964","63","11","4"
"TMOnto2","1","0.817161822851401","0.660774266253464","0.905249195116796","41","33","4"
"WMCOnto","0.851599849731111","0.581437067051226","0.865852511429982","0.827719924662375","69","7","2"
"WMCOnto2","0.908308250455146","0.592473530266334","0.716040921257884","0.883132503540548","71","5","2"
