"Metric","Mean_stability_k_2","Mean_stability_k_3","Mean_stability_k_4","Mean_stability_k_5","Mean_stability_k_6"
"ANOnto","0.999476495726496","0.659672698893356","0.808409290968331","0.633954923739747","0.698709171905161"
"AROnto","0.951723995459355","0.948509608277901","0.807513116354068","0.778180417254626","0.460937594374034"
"CBOOnto","0.848341861758595","0.774432179625935","0.719013027927442","0.637877179896265","0.623282564679907"
"CBOOnto2","0.828931147152985","0.540509715971342","0.731792121566897","0.683948011123122","0.676647828020165"
"CROnto","0.91","0.374961789505765","0.23","0.15","0.11"
"DITOnto","0.863395543351224","0.974148356775632","0.787071025946371","0.727061527576463","0.727073390349535"
"INROnto","0.615911071593064","0.884351666024275","0.654958482553654","0.677392004888335","0.743460794055383"
"LCOMOnto","0.925369994453555","0.769990743097771","0.531586095878318","0.766834532978811","0.646870107707648"
"NACOnto","0.869116191945667","0.841630739521572","0.637793380562887","0.673891912568217","0.528857434590309"
"NOCOnto","0.86","0.892014664016429","0.844515376336346","0.726620442295199","0.757773665767862"
"NOMOnto","0.85","0.743996802260254","0.541322088291751","0.445562710635767","0.433699409396905"
"POnto","0.993083618191128","0.771674721500439","0.827468790902164","0.818049898929535","0.773822997227898"
"PROnto","0.964197964314163","0.948119990781414","0.936524972623135","0.720166810706082","0.761203118089341"
"RFCOnto","0.88","0.780836705312861","0.456716132866343","0.342127683820195","0.42359581904676"
"RROnto","0.957131060531605","0.95326127475741","0.927576970472263","0.70307362066823","0.772676660821978"
"TMOnto","0.945747035313291","0.711425346916938","0.749501452623528","0.505136256716087","0.805643535027815"
"TMOnto2","1","0.911876619825287","0.952699578715059","0.784657836899942","0.738685101362346"
"WMCOnto","0.83","0.859257409066057","0.811822103524495","0.855672697418534","0.764293755657436"
"WMCOnto2","0.83","0.519926775265791","0.617286695090495","0.617883566230342","0.634533221990734"
