"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size"
"ANOnto","0.912463635812093","0.377755667512368","0.735199153003842","0.435009139699291","0.697218912572934","17","10","43","8"
"AROnto","0.977830071908839","0.374090204907881","0.582719813159509","0.642339803824601","0.872895426588295","60","6","9","3"
"CBOOnto","0.715353453082211","0.679552876928429","0.538209614168029","0.353284638160313","0.620285016375998","3","52","15","8"
"CBOOnto2","0.715353453082211","0.679552876928429","0.538209614168029","0.353284638160313","0.620285016375998","3","52","15","8"
"CROnto","0.99106655273332","0","0","0","0.952948608397423","75","1","1","1"
"DITOnto","0.696606612853752","0.399549738370161","0.406612512131281","0.710779337130594","0.566122490292171","37","16","19","6"
"INROnto","0.795763739274779","0.826628594607518","0.535886598945739","0.61790813611394","0.789874283022744","4","64","8","2"
"LCOMOnto","0.683748364032215","0.528862888309334","0.511451919314624","0.948993311305927","0.623658493987274","44","17","15","2"
"NACOnto","0.863789288102295","0.477456615112352","0.388291352892687","0.937557604611207","0.779574189279997","60","10","6","2"
"NOCOnto","0.756327363592974","0.51703903128312","0.549165863726628","0.74768948537259","0.661643249511378","44","23","9","2"
"NOMOnto","0.876935304174669","0.477236266365853","0","0.998712417202756","0.843193300749507","70","5","1","2"
"POnto","0.952525255100588","0.547182487776328","0.794762600438778","0.498969168097892","0.748078198344393","7","12","53","6"
"PROnto","0.843656257309016","0.567273335072589","0.657498646286409","0.589060318191295","0.684863767054165","24","16","25","13"
"RFCOnto","0.868480269778106","0.468006904160704","0","0.998736164242271","0.835014432484044","70","5","1","2"
"RROnto","0.589060318191295","0.657498646286409","0.56727333507575","0.843656257314452","0.684863767056486","13","25","16","24"
"TMOnto","0.851809702149015","0.455872867298042","0.706057642461848","0.114375427218254","0.745075000855503","56","11","7","4"
"TMOnto2","1","0.842509808604893","0.644891033387861","0.506215506106743","0.890312234382939","41","26","7","4"
"WMCOnto","0.715366603714436","0.614430290525391","0.482189974925834","0.865852511429982","0.672418003075077","49","20","7","2"
"WMCOnto2","0.746209814515723","0.537847168914511","0.520276285717606","0.716040921257884","0.693554911067989","57","14","5","2"
