"","k_2","k_3","k_4","k_5","k_6"
"ANOnto",0.756812610969137,0.715238928277381,0.638741130545637,0.680863504069276,0.676590378097549
"AROnto",0.937251358997034,0.896645955712041,0.876787481372335,0.87101509256508,0.870817963318916
"CBOOnto",0.73351999212753,0.798826543198957,0.620285016375998,0.647330878622393,0.685421742829573
"CBOOnto2",0.73351999212753,0.798826543198957,0.620285016375998,0.647330878622393,0.685421742829573
"CROnto",0.978662557557449,0.96800786427364,0.952948608397423,0.948241652527513,0.834662457344838
"DITOnto",0.791973098520664,0.699341825113985,0.690545398886371,0.687339555965715,0.629765504099347
"INROnto",0.776026777505152,0.811582296752584,0.789874283022744,0.662668418729511,0.682637968427006
"LCOMOnto",0.666342448189621,0.658638761433676,0.623658493987274,0.593864999653349,0.526750080522399
"NACOnto",0.822662385067747,0.793980831583389,0.779574189279997,0.783855034491657,0.79538567830244
"NOCOnto",0.974811018287182,0.678519096726167,0.661643249511378,0.61067445792322,0.543191161998909
"NOMOnto",0.998946225726518,0.891174306159433,0.843193300749507,0.766242194731859,0.563371903800373
"POnto",0.794771690845731,0.723461860030872,0.748078198344393,0.717982031199961,0.635756228018722
"PROnto",0.621650860196678,0.661959063204041,0.684863767054165,0.677767475165921,0.643862613662044
"RFCOnto",0.99892867934954,0.888756872734309,0.835014432484044,0.755901824951011,0.614501950410714
"RROnto",0.62165086019709,0.661959063206167,0.684863767056486,0.677767475175875,0.643862613666532
"TMOnto",0.819840985066863,0.781220478954964,0.745075000855503,0.792388074720148,0.810119250592077
"TMOnto2",0.962364425066525,0.905249195116796,0.890312234382939,0.897292460439749,0.871408918395042
"WMCOnto",0.956562592086278,0.827719924662375,0.672418003075077,0.572174588390748,0.594625630751789
"WMCOnto2",0.967667267914704,0.750177862739303,0.861668951886123,0.782731870274876,0.75744400065804
