"","k_2","k_3","k_4","k_5","k_6"
"ANOnto",0.918949448490115,0.917827666170174,0.715247585831308,0.831087685279722,0.725780812672314
"AROnto",0.76557770150433,0.736346370399632,0.80533405793716,0.679083504009203,0.740655012032689
"CBOOnto",0.733539601902191,0.768058385273451,0.784933675725777,0.729409387815491,0.819967300980042
"CBOOnto2",0.733539601902191,0.768058385273451,0.784933675725777,0.729409387815491,0.819967300980042
"CROnto",0.865447007993132,0.897087179696187,0.846932089492416,0.830994352566383,0.775965214304254
"DITOnto",0.859874202611469,0.799472660572188,0.652293366107702,0.69059264570758,0.608740627607894
"INROnto",0.761181607427323,0.783763246995154,0.72350760713574,0.768281604807016,0.774954331802195
"LCOMOnto",0.895981320733073,0.818699866660076,0.851443701143976,0.783747019049757,0.840550535355812
"NACOnto",0.864230539958094,0.86719150343529,0.92991471353412,0.825033597546725,0.768520801369406
"NOCOnto",0.937673410283547,0.890072367334302,0.794134823198591,0.789537135807119,0.772368584409729
"NOMOnto",0.731977882086806,0.795200095486091,0.743604513573361,0.789934225490125,0.808283004199506
"POnto",0.930591849522081,0.903228127438371,0.701082343112431,0.8148885672151,0.791957092542467
"PROnto",0.967546981109731,0.971195829004825,0.695953870126617,0.670098326981127,0.608584483667407
"RFCOnto",0.737571471402367,0.798340299504463,0.807738054224156,0.69701253954183,0.70409369089434
"RROnto",0.967546981109731,0.971195829004825,0.695953870126617,0.670098326981127,0.608584483667407
"TMOnto",0.982484302133623,0.926304263101299,0.751792648813666,0.779845811831878,0.793332324942421
"TMOnto2",1,0.930595668674637,0.891465357698133,0.73331237312918,0.739173002121557
"WMCOnto",0.786254173538352,0.809375514577445,0.807529950312296,0.750828727821091,0.8052023837639
"WMCOnto2",0.784221158329852,0.809829001607679,0.811514326082239,0.719522824274302,0.761144158687981
