"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size"
"ANOnto","0.565699025324783","0.554137126967529","0.772889402028842","0.45508791626951","0.439222878335426","0.65997238583969","13","8","70","22","6"
"AROnto","0.936296727485152","0.521195550034399","0.472342155212971","0.35238077633666","0","0.797004805408231","85","8","19","6","1"
"CBOOnto","0.756866895201636","0.510346473353746","0.461214846819788","0.669252637199516","0","0.667706212314159","77","25","11","5","1"
"CBOOnto2","0.756866895201636","0.510346473353746","0.461214846819788","0.669252637199516","0","0.667706212314159","77","25","11","5","1"
"CROnto","0.913896159038623","0.432756447487125","0.797475168488519","0.532129881456222","0.801328964135092","0.855948158780464","101","11","2","3","2"
"DITOnto","0.617735226326271","0.575762373915083","0.600163519285109","0.498878998209046","0.285305139676057","0.538446591493604","9","29","35","36","10"
"INROnto","0.756846901945181","0.464165473938033","0.516927247716891","0.753703087579416","0","0.644834044258081","70","29","17","2","1"
"LCOMOnto","0.536297637212368","0.59072389788767","0.560260235011359","0.53081709029433","0.625355146565348","0.562429279488907","29","44","20","22","4"
"NACOnto","0.789524943662232","0.472335163694062","0.447510785043727","0.510871239597445","0.637878305275696","0.62092009419759","54","26","21","15","3"
"NOCOnto","0.686362884194269","0.479527185768754","0.426907112861372","0.583712364499523","0.416122987993338","0.610921518853793","78","26","11","2","2"
"NOMOnto","0.776365395388898","0.488324919796705","0.619068499119787","0.537451427763934","0","0.642815323821869","54","33","22","9","1"
"POnto","0.624654333493112","0.583772032809158","0.581095675268904","0.572072466543798","0.49163600655858","0.571521671398452","7","16","56","26","14"
"PROnto","0.858769393060306","0.629033049095058","0.542998104367446","0.520914110656799","0.51636986226256","0.61981530354904","28","18","22","24","27"
"RFCOnto","0.712289603279296","0.488264374330306","0.641837575344633","0.452933056726454","0","0.621631760610434","62","35","17","4","1"
"RROnto","0.507715585691102","0.639998802220879","0.484907384136976","0.570348857649316","0.714732148589648","0.61679585925071","9","22","21","23","44"
"TMOnto","0.755198546861958","0.51134878865806","0.569504148724982","0.438700101414404","0.642760264037426","0.62172801304843","52","24","18","19","6"
"TMOnto2","1","0.823515968720498","0.568111972577433","0.528047034210958","0.472808309075876","0.723191589773759","18","48","26","18","9"
"WMCOnto","0.865342704227001","0.599404856029838","0.433581642881989","0.646557653521619","0","0.816535931549308","102","8","5","3","1"
"WMCOnto2","0.849107808238869","0.437738634938133","0.553635954155071","0.463602014732171","0","0.778791104211989","98","10","5","5","1"
