"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Cluster_6_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size","Cluster_6_Size"
"ANOnto","0.671625632495622","0.626022655064798","0.504498806915113","0.772889402028842","0.45508791626951","0.439222878335426","0.665141423767043","5","8","8","70","22","6"
"AROnto","0.936296727485152","0.521195550034399","0.720321185250759","0.429534136276238","0.261976793074859","0","0.820194469809095","85","8","13","8","4","1"
"CBOOnto","0.737553971894648","0.524064605397768","0.565567374853451","0.674164996265029","0.6017780217064","0","0.653598685871286","65","26","15","7","5","1"
"CBOOnto2","0.737553971894648","0.524064605397768","0.565567374853451","0.674164996265029","0.6017780217064","0","0.653598685871286","65","26","15","7","5","1"
"CROnto","0.899362498429809","0.470344599574773","0.86014995925603","0.692018025700384","0.532129881456222","0.801328964135092","0.841050786416557","98","12","2","2","3","2"
"DITOnto","0.746551724137931","0.501851851851852","0.6409984375","0.391168215732644","0.508146254133492","0.879784851185441","0.514973633132377","4","9","25","45","31","5"
"INROnto","0.732429214614002","0.476701259161324","0.408969356653594","0.544193204393641","0.738550328544269","0","0.587424855477853","54","28","22","12","2","1"
"LCOMOnto","0.532887505385674","0.523272117694596","0.484409852694587","0.654399803949624","0.566589938262564","0.533867598640488","0.542804288936846","26","39","23","20","7","4"
"NACOnto","0.744924241934806","0.487206336862533","0.446715805446326","0.574996241109446","0.523125798678901","0.559066612015325","0.62564584374843","61","24","15","11","5","3"
"NOCOnto","0.669807057527711","0.512732618961454","0.685683520677141","0.588259315572099","0.499062216115434","0.416122987993338","0.625361285041919","76","27","8","4","2","2"
"NOMOnto","0.803643963297703","0.500146661808019","0.555960761528464","0.586664195645251","0.507508556555264","0","0.636075008003969","46","26","18","19","9","1"
"POnto","0.570871312215901","0.49726786537648","0.620576901088672","0.558443259714921","0.532234932234879","0.46688070533237","0.571428519719387","8","18","53","24","11","5"
"PROnto","0.858769393060306","0.625176010735021","0.529256755320334","0.550659800256331","0.565395151903005","0.540799077296739","0.633000419819376","28","18","21","18","25","9"
"RFCOnto","0.725007766678084","0.476306287739231","0.427852477495769","0.624811170038077","0.452933056726454","0","0.553258114903959","35","31","31","17","4","1"
"RROnto","0.51636986226256","0.520914110656799","0.536289418149116","0.559770059390632","0.49187161985476","0.964432305076567","0.604591886648904","27","24","22","17","8","21"
"TMOnto","0.744245495447529","0.541887996585599","0.622339141418597","0.667718362723157","0.650492825652726","0.539664918882047","0.662688475066091","52","23","16","11","11","6"
"TMOnto2","1","0.823515968720498","0.560562658098963","0.472918931496654","0.467696615171853","0.358416173001864","0.709099679223854","18","48","26","17","6","4"
"WMCOnto","0.757043279988298","0.441139922827565","0.498932981703505","0.433581642881989","0.646557653521619","0","0.658551140587169","80","22","8","5","3","1"
"WMCOnto2","0.855277619886257","0.401626319537062","0.601625710553087","0.412204588859979","0.521047402147374","0","0.731337710645728","84","20","5","5","4","1"
