"Metric","Mean_stability_k_2","Mean_stability_k_3","Mean_stability_k_4","Mean_stability_k_5","Mean_stability_k_6"
"ANOnto","0.926780816952526","0.889134014224627","0.713346635729439","0.572298162715725","0.672840515921722"
"AROnto","0.69","0.607084610792343","0.624704931914491","0.480082837018874","0.500150875218693"
"CBOOnto","0.742820294846811","0.655905065087241","0.551905047729151","0.501924291462222","0.511820560041804"
"CBOOnto2","0.743307416058467","0.657243630112117","0.606917237728017","0.543621944858117","0.601176298991157"
"CROnto","0.837402964831357","0.811603163785341","0.746221451516393","0.650455300849266","0.527989230533439"
"DITOnto","0.784594928216368","0.700329233662621","0.714783277530311","0.677562776145703","0.464060908245511"
"INROnto","0.65","0.533788509870375","0.465385027308833","0.544022311675348","0.492067489041769"
"LCOMOnto","0.916963301907694","0.807845934541624","0.873989168424312","0.776786227240946","0.828771479001455"
"NACOnto","0.875784607705198","0.834681316839765","0.887908485078698","0.836155248437743","0.728999436964547"
"NOCOnto","0.921996963168312","0.832115416573096","0.561469868342882","0.698957397193594","0.648967899955452"
"NOMOnto","0.63","0.639960063649233","0.512510432501512","0.495078450803278","0.602817002516525"
"POnto","0.933483093141662","0.895742587313883","0.739334317934836","0.805341970840228","0.802838277228652"
"PROnto","0.973072438665751","0.966748321082122","0.717743871124517","0.745830628278983","0.646077464458693"
"RFCOnto","0.63","0.568930278384343","0.596841908888572","0.485313059136172","0.437815504572859"
"RROnto","0.972998397648186","0.962792004302072","0.744488993954262","0.70720787359514","0.699409283571296"
"TMOnto","0.987397421777567","0.927032295611059","0.773510872424011","0.786092438742588","0.747132009237655"
"TMOnto2","1","0.939188988411112","0.918665299558564","0.881734332406554","0.82275168062779"
"WMCOnto","0.61","0.589007053131682","0.585795129613865","0.540915920339832","0.535126027300416"
"WMCOnto2","0.61","0.624271186224432","0.595211151024499","0.486290521471941","0.516639788549287"
