"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0.596824790568545","0.785968448591219","0.445895451261027","0.729102049440001","16","92","11"
"AROnto","0.869294914042746","0.43094872896816","0","0.817786938118899","106","12","1"
"CBOOnto","0.802378890618599","0.453349961182748","0","0.748707951445555","102","16","1"
"CBOOnto2","0.802378890618599","0.453349961182748","0","0.748707951445555","102","16","1"
"CROnto","0.959783086812338","0.389611150650319","0.826589035485919","0.933587727287439","112","5","2"
"DITOnto","0.625187893059722","0.521929074913671","0.365662206955352","0.560860674990813","60","49","10"
"INROnto","0.790698292524879","0.421973841046877","0","0.709689173802215","94","24","1"
"LCOMOnto","0.604229162337281","0.54556279952801","0.454240297131798","0.539083564573443","32","58","29"
"NACOnto","0.771448467959096","0.578973522878868","0.659809321945239","0.736285305441061","96","20","3"
"NOCOnto","0.881230467752637","0.360406193463524","0.399336141968157","0.816561776417992","104","12","3"
"NOMOnto","0.748553314602889","0.50648135670321","0","0.66292844340381","79","39","1"
"POnto","0.510787383486258","0.649997521313131","0.476534686250536","0.587531583447654","21","72","26"
"PROnto","0.756252034472181","0.54098965313231","0.60036465998936","0.642349379473287","45","34","40"
"RFCOnto","0.715620443129857","0.535757758597558","0","0.661240389783946","86","32","1"
"RROnto","0.60036465998936","0.540989653136923","0.756252034457287","0.642349379468973","40","34","45"
"TMOnto","0.7807483380451","0.540119535328612","0.537507269941206","0.691403162993744","75","27","17"
"TMOnto2","1","0.767109495591398","0.447301864156404","0.73783761260749","18","77","24"
"WMCOnto","0.91696823073625","0.481394510282507","0","0.879980348430652","110","8","1"
"WMCOnto2","0.917161067954999","0.506672513093625","0","0.878408479201156","109","9","1"
