"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Cluster_4_SilScore","Cluster_5_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size","Cluster_4_Size","Cluster_5_Size"
"ANOnto","0.565699025324783","0.554137126967529","0.772889402028842","0.45508791626951","0.439222878335426","0.65997238583969","13","8","70","22","6"
"AROnto","0.938481751919819","0.359885234734646","0.378148904595954","0.320009474029986","0","0.785175759365852","88","8","16","6","1"
"CBOOnto","0.756866895201636","0.510346473353746","0.461214846819788","0.669252637199516","0","0.667706212314159","77","25","11","5","1"
"CBOOnto2","0.756866895201636","0.510346473353746","0.461214846819788","0.669252637199516","0","0.667706212314159","77","25","11","5","1"
"CROnto","0.913896159038623","0.432756447487125","0.797475168488519","0.532129881456222","0.801328964135092","0.855948158780464","101","11","2","3","2"
"DITOnto","0.604670025335093","0.403948431218175","0.554226887974322","0.676136363636364","0.771428571428571","0.50840292242649","38","55","21","2","3"
"INROnto","0.756846901945181","0.464165473938033","0.516927247716891","0.753703087579416","0","0.644834044258081","70","29","17","2","1"
"LCOMOnto","0.559941843326961","0.523647671975956","0.577506814672639","0.535390956544263","0.6344898300697","0.546822311099002","26","44","20","25","4"
"NACOnto","0.789524943662232","0.472335163694062","0.447510785043727","0.510871239597445","0.637878305275696","0.62092009419759","54","26","21","15","3"
"NOCOnto","0.686362884194269","0.479527185768754","0.426907112861372","0.583712364499523","0.416122987993338","0.610921518853793","78","26","11","2","2"
"NOMOnto","0.776365395388898","0.488324919796705","0.619068499119787","0.537451427763934","0","0.642815323821869","54","33","22","9","1"
"POnto","0.624654333493112","0.583772032809158","0.581095675268904","0.572072466543798","0.49163600655858","0.571521671398452","7","16","56","26","14"
"PROnto","0.858769393060306","0.629033049095058","0.542998104367446","0.520914110656799","0.51636986226256","0.61981530354904","28","18","22","24","27"
"RFCOnto","0.683784789411523","0.513844417008501","0.54941486682401","0.37576227828501","0","0.572296580295345","54","29","18","17","1"
"RROnto","0.370586193756223","0.541147029717664","0.449335305824304","0.533315730994712","0.665948471425878","0.542140462684985","18","22","21","16","42"
"TMOnto","0.755198546861958","0.51134878865806","0.569504148724982","0.438700101414404","0.642760264037426","0.62172801304843","52","24","18","19","6"
"TMOnto2","1","0.70629268527245","0.551413360367803","0.47552767313796","0.547670572905671","0.692150633253508","18","62","22","12","5"
"WMCOnto","0.865342704227001","0.599404856029838","0.433581642881989","0.646557653521619","0","0.816535931549308","102","8","5","3","1"
"WMCOnto2","0.849107808238869","0.437738634938133","0.553635954155071","0.463602014732171","0","0.778791104211989","98","10","5","5","1"
