ISSN,Journal.Impact.Factor
0028-0836,38.138
0036-8075,34.661
2041-1723,11.329
0027-8424,9.423
2095-5138,8
2047-217X,7.463
2045-2322,5.228
0077-8923,4.518
1742-5689,3.818
1076-2787,3.514
1932-6203,3.057
1759-2879,2.462
1364-503X,2.441
2167-8359,2.183
0386-2208,2.077
1364-5021,1.935
1001-6538,1.789
0028-1042,1.773
1454-9069,1.735
1353-3452,1.454
0218-348X,1.412
0218-1274,1.355
0036-8733,1.138
1940-087X,1.113
2193-1801,0.982
0011-3891,0.967
0303-6758,0.963
0038-2353,0.902
2155-3769,0.864
0970-4140,0.857
2073-8994,0.841
0973-5348,0.82
2193-567X,0.728
0001-3765,0.717
1026-0226,0.646
1736-6046,0.584
0003-0996,0.5
0372-1426,0.484
0748-5492,0.467
0219-5259,0.461
0011-748X,0.428
0125-2526,0.42
2037-4631,0.412
0369-8203,0.39
1099-274X,0.373
0890-3670,0.369
0126-6039,0.35
0308-0188,0.347
0250-541X,0.345
1905-7873,0.329
1019-3316,0.327
1806-2563,0.315
2307-4108,0.31
0262-4079,0.285
1391-4588,0.277
0160-9327,0.255
1310-1331,0.233
1513-1874,0.197
0972-0073,0.195
1028-6276,0.128
0746-9179,0.042
