"Author(s)_Year","yi_ZCOR"
"Axelsson et al._2009",0.189226642530929
"Axelsson et al._2011",0.163439918464887
"Bruce et al._2010",0.354092528962243
"Christensen et al._1999",0.331647108705132
"Christensen & Smith_1995",0.2768638226551
"Cohen et al._2004",0
"Dobbels et al._2005",0.176820020121789
"Ediger et al._2007",0.0500417292784913
"Insel et al._2006",0.266108406873654
"Jerant et al._2011",0.0100003333533347
"Moran et al._1997",-0.0902441878561468
"O'Cleirigh et al._2007",0.388423099718296
"Penedo et al._2003",0
"Quine et al._2012",0.151140435936467
"Stilley et al._2004",0.244774112659353
"Wiebe & Christensen_1997",0.0400213538367683
