ISSN,Journal.Impact.Factor
0028-0836,38.138
0036-8075,34.661
2041-1723,11.329
1759-0876,10.234
0027-8424,9.423
1467-5463,8.399
2095-5138,8
2047-217X,7.463
1367-4803,5.766
2045-2322,5.228
0962-2802,4.634
1553-734X,4.587
0077-8923,4.518
1742-5689,3.818
1076-2787,3.514
1932-6203,3.057
1662-5196,3.047
1662-5188,2.653
1758-0463,2.627
1759-2879,2.462
1364-503X,2.441
1471-2105,2.435
1752-0509,2.208
2167-8359,2.183
1465-4644,2.109
2168-2194,2.093
0386-2208,2.077
0022-5193,2.049
1364-5021,1.935
1062-936X,1.897
0929-5313,1.871
2040-7939,1.849
0140-0118,1.797
1001-6538,1.789
0028-1042,1.773
1454-9069,1.735
0303-6812,1.716
1093-3263,1.674
1756-0381,1.64
2041-1480,1.62
1868-1743,1.57
1938-7989,1.546
1066-5277,1.537
0277-6715,1.533
0010-4825,1.521
0303-2647,1.495
1353-3452,1.454
1748-7188,1.439
0218-348X,1.412
1176-9343,1.404
0006-341X,1.36
0218-1274,1.355
0092-8240,1.326
2194-6302,1.265
0025-5564,1.256
1477-8599,1.162
1751-3758,1.147
0036-8733,1.138
0006-3444,1.13
1940-087X,1.113
1742-4682,1.033
1547-1063,1.006
1431-7613,1
2193-1801,0.982
0011-3891,0.967
0303-6758,0.963
1793-5245,0.938
0038-2353,0.902
1748-670X,0.887
2156-7018,0.877
2155-3769,0.864
0970-4140,0.857
1913-2751,0.853
2073-8994,0.841
0001-5342,0.825
0973-5348,0.82
1085-7117,0.79
0219-7200,0.785
1574-8936,0.77
1751-8849,0.764
2193-567X,0.728
0001-3765,0.717
0323-3847,0.683
1946-6315,0.672
2194-573X,0.667
1026-0226,0.646
1736-6046,0.584
1748-5673,0.528
0003-0996,0.5
0372-1426,0.484
0218-3390,0.479
0748-5492,0.467
0219-5259,0.461
1687-5265,0.43
0011-748X,0.428
0125-2526,0.42
2037-4631,0.412
0369-8203,0.39
1099-274X,0.373
0890-3670,0.369
0126-6039,0.35
0308-0188,0.347
0250-541X,0.345
1905-7873,0.329
1019-3316,0.327
1806-2563,0.315
2307-4108,0.31
0262-4079,0.285
1391-4588,0.277
0160-9327,0.255
1310-1331,0.233
1513-1874,0.197
0972-0073,0.195
1028-6276,0.128
0746-9179,0.042
