"","k_2","k_3","k_4","k_5","k_6"
"ANOnto",0.772643700525073,0.706858844941663,0.543504140646922,0.680462703124672,0.597326940686326
"AROnto",0.909875794877481,0.848247244154316,0.864564989906592,0.873295759197527,0.843187158364704
"CBOOnto",0.818194996594041,0.618967977298094,0.659023358133339,0.709893349774099,0.702431955413996
"CBOOnto2",0.818194996594041,0.618967977298094,0.659023358133339,0.709893349774099,0.702431955413996
"CROnto",0.991552289128254,0.987318957820606,0.981339799556906,0.979399528858583,0.906670667521078
"DITOnto",0.595527995258937,0.589655771671862,0.544827476394991,0.601634136292428,0.59949078950232
"INROnto",0.550484943558396,0.600128734541479,0.723536849219888,0.721678117405299,0.697768763080865
"LCOMOnto",0.591645401370193,0.587739614338977,0.613386870632591,0.578876928981063,0.557849552180585
"NACOnto",0.79253646624287,0.767408027970957,0.729218482822316,0.682303868428384,0.667901262838783
"NOCOnto",0.969009919115626,0.918334900533998,0.767094219471443,0.70798510941712,0.650815919956422
"NOMOnto",0.999209974869286,0.923345846882949,0.738006189981764,0.667936229707491,0.62177375289689
"POnto",0.715519396952887,0.640428219215562,0.539718524336014,0.632479174255868,0.453087626162795
"PROnto",0.640227279176849,0.604410476859284,0.629582734702605,0.607366737425656,0.650933039759175
"RFCOnto",0.999161362434891,0.915767254594763,0.714348677049831,0.673494479138921,0.600532817007148
"RROnto",0.640227279175436,0.604410476857961,0.62958273470042,0.607366737427614,0.650933039762025
"TMOnto",0.762542288364237,0.740524266933326,0.703742528577957,0.68327924375442,0.686032200774316
"TMOnto2",0.955410569527393,0.803017245043951,0.790684878105224,0.753604669940493,0.777872062647507
"WMCOnto",0.990019110608419,0.905482033495741,0.872871047485946,0.835938969188822,0.711906683037037
"WMCOnto2",0.990846494868138,0.911177767288103,0.833683552891385,0.83297369073163,0.789169432316538
