"","k_2","k_3","k_4","k_5","k_6"
"ANOnto",0.788486131983887,0.729102049440001,0.710166984933178,0.65997238583969,0.665141423767043
"AROnto",0.947071281607451,0.817786938118899,0.849090754621164,0.797004805408231,0.820194469809095
"CBOOnto",0.82646075734598,0.748707951445555,0.668757315056433,0.667706212314159,0.653598685871286
"CBOOnto2",0.82646075734598,0.748707951445555,0.668757315056433,0.667706212314159,0.653598685871286
"CROnto",0.945253408027588,0.933587727287439,0.902945820682739,0.855948158780464,0.841050786416557
"DITOnto",0.582945580644237,0.560860674990813,0.514175200203734,0.568225691108557,0.563103377145561
"INROnto",0.933563504258775,0.709689173802215,0.706905269083571,0.644834044258081,0.587424855477853
"LCOMOnto",0.601516899254687,0.539083564573443,0.586367400236746,0.534855712923656,0.559034123148065
"NACOnto",0.748165810459192,0.736285305441061,0.671325230305865,0.62092009419759,0.631333627299481
"NOCOnto",0.922347164851276,0.816561776417992,0.815878504881226,0.610921518853793,0.625361285041919
"NOMOnto",0.948154570239397,0.66292844340381,0.603972261587388,0.642815323821869,0.636075008003969
"POnto",0.658036650510133,0.587531583447654,0.602577353153692,0.571521671398452,0.592070423289515
"PROnto",0.656838590418406,0.642349379473287,0.597552668098741,0.616795859256737,0.583128366211424
"RFCOnto",0.940611698643338,0.661240389783946,0.620932203775856,0.572296580295345,0.553258114903959
"RROnto",0.656838590415985,0.642349379468973,0.597552668093284,0.61679585925071,0.583128366204313
"TMOnto",0.72515757146441,0.691403162993744,0.626898211817994,0.62172801304843,0.604584701065746
"TMOnto2",0.950752410221337,0.73783761260749,0.718481469843933,0.692150633253508,0.720536899526163
"WMCOnto",0.985071918915794,0.879980348430652,0.834534646914701,0.816535931549308,0.658551140587169
"WMCOnto2",0.986115680397762,0.878408479201156,0.845322620157451,0.778791104211989,0.731337710645728
