"","k_2","k_3","k_4","k_5","k_6"
"ANOnto",0.986800517550273,0.870893088097994,0.784195869463355,0.729668870269319,0.750989981735012
"AROnto",0.934606868907236,0.953862548376284,0.802259953409198,0.806148060873434,0.72997829803095
"CBOOnto",0.597798092866763,0.845817493867863,0.774062546618596,0.768742456871771,0.798410091878238
"CBOOnto2",0.597798092866763,0.845817493867863,0.774062546618596,0.768742456871771,0.798410091878238
"CROnto",0.916257144571895,0.677106512237217,0.621020992339835,0.614268325809927,0.700333151164914
"DITOnto",0.903266066337571,0.957728223812899,0.661604223033678,0.673550810199778,0.666240850036443
"INROnto",0.62102040790496,0.888151551843474,0.743468664171712,0.777387604575971,0.816157935129277
"LCOMOnto",0.909727416094226,0.758795360957327,0.659505277409729,0.811928182625305,0.742444993404092
"NACOnto",0.867418147330013,0.838632454744483,0.707166887946858,0.800202415094447,0.827421447985558
"NOCOnto",0.925880877277941,0.890911264642714,0.92335125237609,0.833410149977345,0.840703761202252
"NOMOnto",0.942255370312534,0.826627570032026,0.797740662394893,0.716708941489863,0.698790070355319
"POnto",0.998525641025641,0.810650157752628,0.774412641174137,0.810844934912751,0.794845776081806
"PROnto",0.964009355107278,0.939756308518744,0.927734688618473,0.726865041185165,0.743395518833019
"RFCOnto",0.942259978432377,0.839250548391257,0.792433239353354,0.714072497580951,0.777328919267454
"RROnto",0.964009355107278,0.939756308518744,0.927734688618473,0.726865041185165,0.743395518833019
"TMOnto",0.941330468437089,0.725572134757715,0.762291513400985,0.789052989104683,0.809675356925102
"TMOnto2",1,0.939269369986456,0.97150225943647,0.793030644003399,0.782481605855445
"WMCOnto",0.890838838668763,0.916073676380021,0.893494389864849,0.868957185449488,0.80790964408629
"WMCOnto2",0.892349535006449,0.624860270157365,0.731801495923165,0.81419924964499,0.821511741533781
