"","k_2","k_3","k_4","k_5","k_6"
"ANOnto",0.98339712549602,0.903615954339236,0.69331075741107,0.674612539022748,0.692090863984901
"AROnto",0.823237998797753,0.67981951571557,0.858372936133604,0.798459150243088,0.797196563155263
"CBOOnto",0.70190235768026,0.560147342282083,0.63763744880136,0.705540679759115,0.742805528984889
"CBOOnto2",0.70190235768026,0.560147342282083,0.63763744880136,0.705540679759115,0.742805528984889
"CROnto",0.952727543809704,0.689756853500981,0.654940979713251,0.64732595693522,0.711670230485195
"DITOnto",0.852145274851396,0.7212771536972,0.554963975230735,0.665799526428922,0.621748510207002
"INROnto",0.478825008262769,0.572901097929725,0.692742708520681,0.652696842470425,0.774014509982223
"LCOMOnto",0.965122795984913,0.879803738818186,0.845262485560139,0.796699382176916,0.834156577755077
"NACOnto",0.927720434832077,0.80096265936183,0.923507245968706,0.884780160332292,0.799049022970386
"NOCOnto",0.934116512534647,0.906550562104591,0.87621276398944,0.710182940371916,0.758149382269329
"NOMOnto",0.958543394556537,0.917707979371656,0.752152952736546,0.781332583207208,0.794056164187699
"POnto",0.981684439031159,0.910913948784638,0.658116912774229,0.822993446338732,0.680854211262583
"PROnto",0.967805963795751,0.917822853864528,0.916186061600822,0.720367601371029,0.766594960107269
"RFCOnto",0.948067968553426,0.905958187675914,0.824756333357609,0.765079659271848,0.815949475102634
"RROnto",0.967805963795751,0.917822853864528,0.916186061600822,0.720367601371029,0.766594960107269
"TMOnto",0.958487100733332,0.907463414934473,0.726187341221743,0.82829987401295,0.835097319635846
"TMOnto2",1,0.953313095744819,0.930392844239119,0.799416530370072,0.792805612193648
"WMCOnto",0.789139919376456,0.798638646856758,0.751442464844089,0.779957913763458,0.834437175800494
"WMCOnto2",0.78847073669049,0.81609351316811,0.72104663140405,0.747666043414737,0.765407202792873
